,Name,Best Solution Cost,Optimal Value,Run Time,,,,,A,,,,B,,,,p,
0,A-n32-k5,1076.272601,784,2.22,,,,2-opt 4,swap2-1 6,shift-1 9,,767.6578487,718.9649213,855.1535152,,1571.045036,1306.613026,1324.640815
1,A-n33-k5,822.8250288,661,1.83,,,,1058.050929,953.709551,974.668472,,1031.644432,934.6016196,833.323229,,454.3983428,454.3983428,463.3857706
2,A-n33-k6,811.5325693,742,2.27,,,,856.3593691,875.8434336,754.9884125,,1314.461263,1076.61279,1120.305145,,304.0243476,290.1354097,339.4048269
3,A-n34-k5,1040.403727,778,1.98,,,,970.5936243,847.3034299,938.1600697,,937.0863417,887.2369424,934.7608648,,259.7989882,316.0353637,363.5506153
4,A-n36-k5,992.1797546,799,2.72,,,,1019.056801,962.590687,887.7355105,,724.9910437,651.4292172,672.1503798,,300.4767621,291.6041237,304.6989323
5,A-n37-k5,944.9817571,669,1.92,,,,1176.378834,1020.417151,930.2946506,,1080.045013,991.1046063,1189.451598,,309.1330055,270.5173002,342.5460924
6,A-n37-k6,1262.366675,949,1.88,,,,1006.629552,912.531276,916.5865652,,979.5434903,862.6477788,931.0339966,,631.3242893,633.9202016,645.5321396
7,A-n38-k5,1259.70613,730,1.7,,,,1141.887882,1123.497026,1339.798524,,1217.87133,1115.967193,1136.774108,,568.6306853,576.6095674,550.0902957
8,A-n39-k5,1306.127206,822,2.39,,,,1049.158924,943.3141571,1389.256586,,1274.33787,940.9090305,1285.464544,,656.7278886,598.219834,635.5577425
9,A-n39-k6,1113.380566,831,2.17,,,,1227.827405,1084.014271,1235.743861,,1003.758755,892.3493944,875.8055727,,736.5057672,795.889161,645.4205235
10,A-n44-k6,1418.036067,937,1.89,,,,1120.16718,1150.859039,1169.63063,,1181.030883,946.4980662,1031.447466,,907.5408713,873.8809084,840.613177
11,A-n45-k6,1330.921322,944,2.15,,,,1358.567825,1207.28449,1918.676461,,1487.833152,1689.354546,1523.148786,,711.7125892,734.7294776,703.0074031
12,A-n45-k7,1358.961804,1146,2.42,,,,1429.397114,1214.090596,1479.556254,,1492.514006,1179.945596,1323.740464,,761.9597689,840.187785,785.3001904
13,A-n46-k7,1095.061813,914,3.43,,,,1406.07279,1402.855774,1281.177556,,1268.426154,953.6005696,1037.489789,,1002.184118,917.5695511,969.4688676
14,A-n48-k7,1351.383551,1073,2.43,,,,1219.542834,1204.793916,1204.263911,,1271.829335,939.5348525,1137.278077,,941.8699535,833.7740879,957.8609719
15,A-n53-k7,1660.6643,1010,1.9,,,,1415.907044,1451.927901,1310.994896,,1786.863442,1474.753963,1639.968154,,1102.797563,1096.229558,1120.006791
16,A-n54-k7,1689.979251,1167,2.35,,,,1540.999776,1474.570428,1796.812661,,1964.391267,1964.36726,1863.779996,,909.5472093,777.8262168,749.0057755
17,A-n55-k9,1506.102427,1073,2.5,,,,1682.074103,1491.433693,1821.970862,,1941.20935,2110.743078,2014.782266,,822.3182727,888.2645839,834.4592403
18,A-n60-k9,1734.2648,1408,2.57,,,,1491.237697,1326.76712,1434.182268,,1475.786075,1159.71266,1228.69405,,983.4847204,1001.871965,1086.390829
19,A-n61-k9,1529.752104,1035,3.39,,,,1733.302185,1705.814121,1785.203128,,1719.303718,1723.729711,2338.056273,,1134.206032,1175.21711,1203.276845
20,A-n62-k8,1926.672388,1290,2.52,,,,1392.692621,1473.699921,1654.136326,,1476.338329,1443.551962,1504.482153,,1113.058129,978.8818733,1064.117341
21,A-n63-k10,1706.202001,1315,2.52,,,,1925.342833,1806.276269,1817.663579,,1665.840968,1686.108658,1795.367419,,1106.244774,1073.07188,1073.771285
22,A-n63-k9,2088.217692,1634,2.73,,,,1764.035964,1885.121584,1730.778328,,1907.24897,1776.472043,1736.058429,,1243.482871,1090.107916,1080.285996
23,A-n64-k9,1930.742858,1402,3.31,,,,1967.701549,1966.693209,2126.325559,,,,,,1166.774851,1012.921134,1292.754465
24,A-n65-k9,2008.865514,1177,2.66,,,,1902.273563,1886.391777,1912.429931,,,,,,,,
25,A-n69-k9,1685.990706,1168,2.94,,,,1700.655888,1596.772044,1541.313155,,,,,,,,
26,A-n80-k10,2450.88928,1764,3.44,,,,1630.655186,1657.702825,1768.589662,,,,,,,,
,,,,,,,,2673.297569,2465.840049,2507.78124,,,,,,,,
