,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,844.4912686812776,784,2.82
1,A-n33-k5,683.2670525281369,661,1.88
2,A-n33-k6,746.7429846841342,742,1.84
3,A-n34-k5,795.5128259645365,778,1.9
4,A-n36-k5,882.7988581292905,799,1.89
5,A-n37-k5,739.8574325128618,669,1.98
6,A-n37-k6,1000.2470645884274,949,1.81
7,A-n38-k5,764.1236553696862,730,2.0
8,A-n39-k5,882.4841183046287,822,2.06
9,A-n39-k6,848.0859088996583,831,2.2
10,A-n44-k6,973.9909324860384,937,2.35
11,A-n45-k6,1011.4706407143541,944,3.9
12,A-n45-k7,1154.4267598044646,1146,2.34
13,A-n46-k7,947.7410278956493,914,2.69
14,A-n48-k7,1141.7037608834419,1073,2.15
15,A-n53-k7,1094.0190975300447,1010,2.46
16,A-n54-k7,1193.5915559726516,1167,2.26
17,A-n55-k9,1105.1815606834032,1073,2.54
18,A-n60-k9,1399.6555086599355,1408,2.22
19,A-n61-k9,1074.104103521867,1035,2.63
20,A-n62-k8,1365.3378954264383,1290,2.11
21,A-n63-k10,1398.7250160427297,1315,2.69
22,A-n63-k9,1697.1909506751454,1634,3.03
23,A-n64-k9,1461.2485249646465,1402,2.51
24,A-n65-k9,1279.4080823753156,1177,2.68
25,A-n69-k9,1235.06493838961,1168,2.71
26,A-n80-k10,1915.3976985350032,1764,2.92
