,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,855.5082411662697,784,1.78
1,A-n33-k5,718.5513350368064,661,1.42
2,A-n33-k6,746.9497406496887,742,1.27
3,A-n34-k5,816.4745780143622,778,1.49
4,A-n36-k5,888.2316464523528,799,1.24
5,A-n37-k5,741.8801892296074,669,1.49
6,A-n37-k6,1008.1776388500602,949,2.16
7,A-n38-k5,792.0561668603834,730,1.95
8,A-n39-k5,901.3395644236049,822,1.74
9,A-n39-k6,918.1579508150792,831,1.58
10,A-n44-k6,998.0052430113653,937,1.7
11,A-n45-k6,1031.1273738065145,944,1.53
12,A-n45-k7,1165.6109628854783,1146,1.76
13,A-n46-k7,975.4422454179263,914,3.34
14,A-n48-k7,1179.337220782574,1073,1.62
15,A-n53-k7,1110.9500419312558,1010,1.91
16,A-n54-k7,1223.172596136,1167,1.68
17,A-n55-k9,1125.6034020553539,1073,1.83
18,A-n60-k9,1439.0282249535173,1408,2.02
19,A-n61-k9,1096.3187343576703,1035,2.27
20,A-n62-k8,1395.0663899017454,1290,1.94
21,A-n63-k10,1414.733651233783,1315,2.44
22,A-n63-k9,1734.8298496640361,1634,2.07
23,A-n64-k9,1498.807833436847,1402,2.11
24,A-n65-k9,1302.3564632244122,1177,2.28
25,A-n69-k9,1268.768065204611,1168,2.37
26,A-n80-k10,1944.682955381836,1764,2.43
