,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,844.4912686812776,784,1.61
1,A-n33-k5,703.7976518050444,661,1.4
2,A-n33-k6,746.7429846841342,742,1.3
3,A-n34-k5,795.5128259645365,778,1.42
4,A-n36-k5,879.6948084236443,799,1.31
5,A-n37-k5,739.8574325128618,669,1.37
6,A-n37-k6,1000.2470645884274,949,1.56
7,A-n38-k5,764.1236553696862,730,1.52
8,A-n39-k5,877.7988957570217,822,1.37
9,A-n39-k6,848.0859088996583,831,2.2
10,A-n44-k6,973.9909324860384,937,1.71
11,A-n45-k6,1011.4706407143541,944,1.54
12,A-n45-k7,1154.4267598044646,1146,1.79
13,A-n46-k7,947.7410278956493,914,1.62
14,A-n48-k7,1144.525419353678,1073,1.76
15,A-n53-k7,1100.9354071950977,1010,1.71
16,A-n54-k7,1193.5915559726516,1167,1.79
17,A-n55-k9,1105.1815606834032,1073,2.1
18,A-n60-k9,1399.6555086599355,1408,1.84
19,A-n61-k9,1074.104103521867,1035,2.11
20,A-n62-k8,1373.5679138507348,1290,1.84
21,A-n63-k10,1400.6947681832535,1315,2.04
22,A-n63-k9,1697.1909506751454,1634,2.19
23,A-n64-k9,1473.4088545111147,1402,2.14
24,A-n65-k9,1281.2385778185437,1177,2.39
25,A-n69-k9,1238.9073968576436,1168,2.15
26,A-n80-k10,1915.3976985350032,1764,2.45
