,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845936,784,2.4
1,A-n33-k5,725.7460583136553,661,1.85
2,A-n33-k6,748.0026140516302,742,2.03
3,A-n34-k5,803.6228077661461,778,1.95
4,A-n36-k5,888.3972541930066,799,1.92
5,A-n37-k5,695.7515043526787,669,1.95
6,A-n37-k6,1008.524712982598,949,2.2
7,A-n38-k5,789.7874797819751,730,2.13
8,A-n39-k5,928.6690980089667,822,2.28
9,A-n39-k6,927.227575032422,831,2.03
10,A-n44-k6,992.340694223641,937,2.53
11,A-n45-k6,1031.1273738065145,944,2.16
12,A-n45-k7,1171.6329563624051,1146,2.21
13,A-n46-k7,974.7233964758695,914,2.16
14,A-n48-k7,1162.9934673210587,1073,2.44
15,A-n53-k7,1098.3805430627108,1010,2.45
16,A-n54-k7,1232.6840996187314,1167,2.45
17,A-n55-k9,1140.3839382540714,1073,2.58
18,A-n60-k9,1450.7471638251127,1408,2.7
19,A-n61-k9,1087.9100740346082,1035,2.66
20,A-n62-k8,1395.0391166924062,1290,2.85
21,A-n63-k10,1415.8548560874706,1315,2.78
22,A-n63-k9,1701.8982895011477,1634,2.76
23,A-n64-k9,1487.9492853460351,1402,2.78
24,A-n65-k9,1308.9435773813657,1177,2.65
25,A-n69-k9,1260.666690666011,1168,2.87
26,A-n80-k10,1934.9103349386073,1764,3.04
