,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845936,784,2.67
1,A-n33-k5,726.0443968088297,661,2.71
2,A-n33-k6,753.4638559892887,742,2.68
3,A-n34-k5,820.6170791849404,778,3.03
4,A-n36-k5,888.3972541930066,799,2.48
5,A-n37-k5,741.8801892296074,669,2.63
6,A-n37-k6,1008.707424359539,949,2.98
7,A-n38-k5,800.2354071411835,730,2.79
8,A-n39-k5,930.7344242885116,822,4.1
9,A-n39-k6,929.5337220171537,831,2.29
10,A-n44-k6,1016.0297958496252,937,3.8
11,A-n45-k6,1031.1273738065145,944,2.98
12,A-n45-k7,1171.6329563624051,1146,2.72
13,A-n46-k7,986.0260237449481,914,2.75
14,A-n48-k7,1191.966828388542,1073,2.89
15,A-n53-k7,1116.3293602508134,1010,3.06
16,A-n54-k7,1233.3377392901223,1167,2.74
17,A-n55-k9,1145.8626503353262,1073,2.99
18,A-n60-k9,1450.7471638251127,1408,2.91
19,A-n61-k9,1097.9897383612338,1035,3.2
20,A-n62-k8,1402.1287555215654,1290,3.01
21,A-n63-k10,1416.1745315127773,1315,3.72
22,A-n63-k9,1747.248291891921,1634,4.26
23,A-n64-k9,1501.375420708372,1402,2.9
24,A-n65-k9,1309.2006216279729,1177,3.28
25,A-n69-k9,1275.8840346712748,1168,3.43
26,A-n80-k10,1952.2978446773825,1764,3.3
