,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845936,784,2.43
1,A-n33-k5,726.0443968088297,661,2.01
2,A-n33-k6,753.4638559892887,742,2.35
3,A-n34-k5,809.6304358393012,778,2.26
4,A-n36-k5,887.0139730633709,799,2.27
5,A-n37-k5,739.7462493341739,669,2.25
6,A-n37-k6,1008.707424359539,949,2.6
7,A-n38-k5,786.026563945698,730,3.0
8,A-n39-k5,930.7344242885116,822,2.61
9,A-n39-k6,929.5337220171537,831,2.51
10,A-n44-k6,1016.0297958496252,937,2.68
11,A-n45-k6,1026.0547225649543,944,2.85
12,A-n45-k7,1171.6329563624051,1146,2.78
13,A-n46-k7,985.1080426734269,914,2.67
14,A-n48-k7,1196.4632546886548,1073,3.11
15,A-n53-k7,1111.9616807299994,1010,3.09
16,A-n54-k7,1233.3377392901223,1167,2.66
17,A-n55-k9,1137.534431520052,1073,3.34
18,A-n60-k9,1432.098103576765,1408,3.51
19,A-n61-k9,1097.9897383612338,1035,3.92
20,A-n62-k8,1396.6514860324082,1290,3.3
21,A-n63-k10,1415.826767888264,1315,4.74
22,A-n63-k9,1734.595729322037,1634,3.47
23,A-n64-k9,1472.5737002189708,1402,3.45
24,A-n65-k9,1294.0243631210344,1177,3.23
25,A-n69-k9,1271.8657980513224,1168,3.1
26,A-n80-k10,1949.0660726175872,1764,3.17
