,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,874.8870599968649,784,2.72
1,A-n33-k5,733.655929264677,661,2.19
2,A-n33-k6,885.4199986146026,742,2.19
3,A-n34-k5,843.8196301734912,778,2.15
4,A-n36-k5,867.4273857698037,799,2.39
5,A-n37-k5,809.7448878498926,669,2.35
6,A-n37-k6,1158.8083893285796,949,2.27
7,A-n38-k5,855.3782954640468,730,2.41
8,A-n39-k5,976.1553086292928,822,2.28
9,A-n39-k6,921.1136737675956,831,2.82
10,A-n44-k6,1183.599358627482,937,2.36
11,A-n45-k6,1173.610618999972,944,2.63
12,A-n45-k7,1294.3933270560483,1146,2.7
13,A-n46-k7,1081.2670350884284,914,2.93
14,A-n48-k7,1261.329962430394,1073,4.1
15,A-n53-k7,1408.0795606838992,1010,2.64
16,A-n54-k7,1413.6305020205493,1167,2.96
17,A-n55-k9,1288.9388417118728,1073,2.91
18,A-n60-k9,1632.1726978447293,1408,2.85
19,A-n61-k9,1275.379137718293,1035,3.11
20,A-n62-k8,1528.0270215602518,1290,2.9
21,A-n63-k10,1585.7259774329025,1315,3.27
22,A-n63-k9,2035.3576791002454,1634,3.33
23,A-n64-k9,1646.5565332200558,1402,3.07
24,A-n65-k9,1534.9742872353406,1177,3.41
25,A-n69-k9,1468.389412644486,1168,3.45
26,A-n80-k10,2246.5064557699075,1764,3.3
