,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845936,784,3.16
1,A-n33-k5,726.0443968088297,661,2.58
2,A-n33-k6,753.4638559892887,742,2.89
3,A-n34-k5,809.6304358393012,778,3.28
4,A-n36-k5,884.2952907750914,799,2.44
5,A-n37-k5,739.7462493341739,669,2.72
6,A-n37-k6,1008.707424359539,949,2.81
7,A-n38-k5,786.026563945698,730,3.18
8,A-n39-k5,930.7344242885116,822,2.53
9,A-n39-k6,929.5337220171537,831,2.58
10,A-n44-k6,1016.0297958496252,937,2.79
11,A-n45-k6,1026.0547225649543,944,3.25
12,A-n45-k7,1171.6329563624051,1146,3.07
13,A-n46-k7,985.1080426734269,914,2.79
14,A-n48-k7,1195.6707539356273,1073,2.86
15,A-n53-k7,1111.9616807299994,1010,3.26
16,A-n54-k7,1233.3377392901223,1167,2.91
17,A-n55-k9,1138.8701291535858,1073,3.18
18,A-n60-k9,1431.9221139542572,1408,3.15
19,A-n61-k9,1097.9897383612338,1035,3.38
20,A-n62-k8,1396.6514860324082,1290,3.1
21,A-n63-k10,1415.826767888264,1315,3.58
22,A-n63-k9,1736.7304722685851,1634,3.51
23,A-n64-k9,1464.0935138835703,1402,3.28
24,A-n65-k9,1294.7228568284363,1177,3.52
25,A-n69-k9,1271.8657980513224,1168,3.69
26,A-n80-k10,1949.0660726175872,1764,3.51
