,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,844.4912686812776,784,2.19
1,A-n33-k5,676.104495538676,661,1.87
2,A-n33-k6,746.7429846841342,742,2.08
3,A-n34-k5,795.5128259645365,778,2.05
4,A-n36-k5,867.4286559241493,799,2.12
5,A-n37-k5,737.7234926174284,669,1.95
6,A-n37-k6,1000.2470645884274,949,2.11
7,A-n38-k5,756.0980627985824,730,2.27
8,A-n39-k5,872.1394482348378,822,2.21
9,A-n39-k6,848.0859088996583,831,2.03
10,A-n44-k6,967.0748871022943,937,2.3
11,A-n45-k6,993.1193545111701,944,2.31
12,A-n45-k7,1154.4267598044646,1146,2.22
13,A-n46-k7,946.8230468241281,914,2.32
14,A-n48-k7,1139.272945975059,1073,2.45
15,A-n53-k7,1085.9071265009934,1010,2.59
16,A-n54-k7,1193.5915559726516,1167,2.42
17,A-n55-k9,1100.4593281001275,1073,2.44
18,A-n60-k9,1388.2729620108128,1408,2.8
19,A-n61-k9,1074.104103521867,1035,3.02
20,A-n62-k8,1367.334205549223,1290,2.39
21,A-n63-k10,1399.5240899438159,1315,2.95
22,A-n63-k9,1664.5818472034136,1634,2.85
23,A-n64-k9,1437.4983326429895,1402,2.56
24,A-n65-k9,1268.1194226538748,1177,2.79
25,A-n69-k9,1229.2380306084858,1168,2.8
26,A-n80-k10,1913.7615404775736,1764,3.36
