,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845936,784,2.46
1,A-n33-k5,725.7460583136553,661,2.13
2,A-n33-k6,753.3939424501257,742,1.89
3,A-n34-k5,802.740288067217,778,2.06
4,A-n36-k5,871.4482716669238,799,2.04
5,A-n37-k5,695.7515043526787,669,2.04
6,A-n37-k6,1008.3901017067209,949,2.39
7,A-n38-k5,783.7795470100536,730,2.48
8,A-n39-k5,928.6690980089667,822,2.19
9,A-n39-k6,920.9388517131083,831,2.03
10,A-n44-k6,1004.9542823751782,937,2.65
11,A-n45-k6,1009.6705361595275,944,2.28
12,A-n45-k7,1169.7781749093642,1146,2.48
13,A-n46-k7,957.2160746302162,914,2.28
14,A-n48-k7,1181.7447402515982,1073,2.46
15,A-n53-k7,1105.1170991674617,1010,2.65
16,A-n54-k7,1230.0830287765236,1167,2.05
17,A-n55-k9,1127.817126942909,1073,2.18
18,A-n60-k9,1433.4652689718516,1408,3.18
19,A-n61-k9,1097.9897383612338,1035,2.71
20,A-n62-k8,1396.6514860324082,1290,2.47
21,A-n63-k10,1415.826767888264,1315,3.3
22,A-n63-k9,1705.8515893747601,1634,2.49
23,A-n64-k9,1465.4083507992125,1402,3.08
24,A-n65-k9,1284.885952465447,1177,2.89
25,A-n69-k9,1267.0199717769244,1168,2.91
26,A-n80-k10,1926.6484295961654,1764,2.88
