,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,843.6881693466269,784,2.51
1,A-n33-k5,726.0443968088297,661,2.75
2,A-n33-k6,753.4638559892887,742,2.74
3,A-n34-k5,809.6304358393012,778,3.33
4,A-n36-k5,884.2179923861295,799,2.58
5,A-n37-k5,739.7462493341739,669,2.9
6,A-n37-k6,1008.707424359539,949,2.79
7,A-n38-k5,786.026563945698,730,2.75
8,A-n39-k5,930.7344242885116,822,3.09
9,A-n39-k6,929.5337220171537,831,3.19
10,A-n44-k6,1016.0297958496252,937,3.07
11,A-n45-k6,1026.0547225649543,944,2.7
12,A-n45-k7,1171.6329563624051,1146,3.05
13,A-n46-k7,981.1129615519841,914,3.05
14,A-n48-k7,1172.170160649225,1073,2.82
15,A-n53-k7,1111.9616807299994,1010,3.17
16,A-n54-k7,1233.3377392901223,1167,2.85
17,A-n55-k9,1120.9435722059497,1073,3.41
18,A-n60-k9,1431.9221139542572,1408,4.08
19,A-n61-k9,1097.9897383612338,1035,3.26
20,A-n62-k8,1396.6514860324082,1290,3.51
21,A-n63-k10,1415.826767888264,1315,3.55
22,A-n63-k9,1703.0155157562558,1634,3.3
23,A-n64-k9,1482.4588645747826,1402,3.24
24,A-n65-k9,1294.7228568284363,1177,3.26
25,A-n69-k9,1269.2837582245863,1168,4.17
26,A-n80-k10,1949.0660726175872,1764,3.32
