,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,840.4981679594893,784,1.62
1,A-n33-k5,706.0731945961242,661,1.51
2,A-n33-k6,746.7429846841342,742,1.66
3,A-n34-k5,801.2987577859863,778,1.44
4,A-n36-k5,880.3146279759154,799,1.43
5,A-n37-k5,741.8801892296074,669,1.46
6,A-n37-k6,1000.2470645884274,949,1.67
7,A-n38-k5,764.1236553696862,730,1.59
8,A-n39-k5,878.8665454896488,822,1.62
9,A-n39-k6,880.2494538747507,831,1.63
10,A-n44-k6,979.2050353142646,937,1.83
11,A-n45-k6,1016.0814088016276,944,1.71
12,A-n45-k7,1155.4002805051061,1146,1.84
13,A-n46-k7,947.844219705135,914,1.89
14,A-n48-k7,1161.6882647026632,1073,1.76
15,A-n53-k7,1110.491307135603,1010,1.91
16,A-n54-k7,1204.288019753381,1167,1.92
17,A-n55-k9,1104.4939598733465,1073,2.27
18,A-n60-k9,1404.3686354558342,1408,2.17
19,A-n61-k9,1077.4407327194929,1035,2.21
20,A-n62-k8,1375.6385379680235,1290,2.65
21,A-n63-k10,1400.6947681832535,1315,2.78
22,A-n63-k9,1700.749811658782,1634,2.46
23,A-n64-k9,1490.0432042872815,1402,2.24
24,A-n65-k9,1282.3852854051174,1177,2.52
25,A-n69-k9,1235.4127746620059,1168,2.53
26,A-n80-k10,1921.5584496546169,1764,2.48
