,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,696.4271682668686,672,4.68
1,B-n34-k5,806.9546485711011,788,2.94
2,B-n35-k5,1045.0807524135291,955,3.15
3,B-n38-k6,871.4846252489992,805,4.7
4,B-n39-k5,591.2873190695146,549,5.04
5,B-n41-k6,953.4265210455117,829,3.67
6,B-n43-k6,848.2514138954156,742,5.27
7,B-n44-k7,1030.585224178384,909,3.41
8,B-n45-k5,1158.633785384982,751,2.78
9,B-n45-k6,792.8506490552916,678,3.38
10,B-n50-k7,917.56346358381,741,3.14
11,B-n50-k8,1392.871897435034,1313,4.04
12,B-n51-k7,1351.6241499570613,1032,3.43
13,B-n52-k7,868.0620654892916,747,3.32
14,B-n56-k7,829.2763587418592,707,3.28
15,B-n57-k7,1402.262546670463,1153,3.48
16,B-n57-k9,1793.2815518662562,1598,3.56
17,B-n63-k10,1650.9958634754914,1537,3.82
18,B-n64-k9,1087.4697604915016,861,5.31
19,B-n66-k9,1634.6431685153902,1374,7.39
20,B-n67-k10,1264.3302566746006,1033,3.88
21,B-n68-k9,1468.5249997583362,1304,4.2
22,B-n78-k10,1543.8392212992637,1266,3.87
