,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,686.8448463366141,672,1.42
1,B-n34-k5,929.9076749535598,788,1.79
2,B-n35-k5,1012.3916508291761,955,1.22
3,B-n38-k6,835.0379007317633,805,1.74
4,B-n39-k5,573.7136304115663,549,1.63
5,B-n41-k6,912.7090092016947,829,1.79
6,B-n43-k6,767.3126797713244,742,1.83
7,B-n44-k7,963.5038778047826,909,1.97
8,B-n45-k5,762.7522029073106,751,1.83
9,B-n45-k6,728.6079506819724,678,1.83
10,B-n50-k7,763.5810317219975,741,2.04
11,B-n50-k8,1371.123695018966,1313,3.89
12,B-n51-k7,1194.5993732708841,1032,1.91
13,B-n52-k7,809.8795336839045,747,1.67
14,B-n56-k7,750.4894090012738,707,1.71
15,B-n57-k7,1290.3762820800582,1153,2.06
16,B-n57-k9,1669.980478083597,1598,2.19
17,B-n63-k10,1639.6259132361813,1537,2.62
18,B-n64-k9,928.7543955519843,861,2.18
19,B-n66-k9,1405.3201268500356,1374,2.31
20,B-n67-k10,1110.9311254485544,1033,2.37
21,B-n68-k9,1331.908690574546,1304,2.1
22,B-n78-k10,1334.0878173296696,1266,2.5
