,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,682.7779642373243,672,1.36
1,B-n34-k5,926.9787120960675,788,1.52
2,B-n35-k5,1006.8382069501046,955,1.49
3,B-n38-k6,834.8822298083628,805,1.73
4,B-n39-k5,565.9318716304031,549,1.28
5,B-n41-k6,910.818821176655,829,1.45
6,B-n43-k6,758.4650293954959,742,1.87
7,B-n44-k7,959.6700595975717,909,1.47
8,B-n45-k5,757.7651032921578,751,1.66
9,B-n45-k6,726.6490478029386,678,1.52
10,B-n50-k7,749.1156985817249,741,1.88
11,B-n50-k8,1368.7721713510782,1313,1.87
12,B-n51-k7,1191.449798946037,1032,1.79
13,B-n52-k7,806.7862274901573,747,1.57
14,B-n56-k7,747.8508102880314,707,1.73
15,B-n57-k7,1287.53235218128,1153,2.12
16,B-n57-k9,1665.6061684599736,1598,1.9
17,B-n63-k10,1640.487062325837,1537,2.14
18,B-n64-k9,923.8984489552328,861,2.77
19,B-n66-k9,1394.8047384620672,1374,2.45
20,B-n67-k10,1103.366337648841,1033,2.45
21,B-n68-k9,1326.2478618541982,1304,1.97
22,B-n78-k10,1325.871882157069,1266,2.62
