,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,685.8502094733939,672,2.19
1,B-n34-k5,902.5325425196563,788,1.71
2,B-n35-k5,1007.838969511969,955,1.46
3,B-n38-k6,828.4041687587671,805,1.79
4,B-n39-k5,588.7474931356471,549,1.65
5,B-n41-k6,911.6532811116938,829,1.85
6,B-n43-k6,764.4544261834483,742,1.87
7,B-n44-k7,962.427192692986,909,1.8
8,B-n45-k5,778.2689082002817,751,1.77
9,B-n45-k6,729.4855191883998,678,1.86
10,B-n50-k7,771.0543539373786,741,2.05
11,B-n50-k8,1360.969348638398,1313,2.0
12,B-n51-k7,1198.2522430154484,1032,2.27
13,B-n52-k7,815.4603790282431,747,2.11
14,B-n56-k7,763.6107666402734,707,3.83
15,B-n57-k7,1237.865746857831,1153,2.34
16,B-n57-k9,1668.14071001094,1598,2.75
17,B-n63-k10,1645.3413581196608,1537,2.3
18,B-n64-k9,927.361425333126,861,2.78
19,B-n66-k9,1419.958697890454,1374,2.45
20,B-n67-k10,1129.2363386301593,1033,2.63
21,B-n68-k9,1342.4560052527638,1304,2.26
22,B-n78-k10,1344.826331430735,1266,2.64
