,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,687.0442468700239,672,2.64
1,B-n34-k5,932.5930600825401,788,2.75
2,B-n35-k5,1021.8750035549874,955,2.83
3,B-n38-k6,843.9886757959837,805,2.9
4,B-n39-k5,596.1051167748944,549,2.77
5,B-n41-k6,909.3234304183633,829,2.81
6,B-n43-k6,770.0547965806718,742,4.86
7,B-n44-k7,966.2153717196902,909,2.74
8,B-n45-k5,780.5619521819209,751,3.06
9,B-n45-k6,743.5690220049798,678,3.57
10,B-n50-k7,774.5519651958745,741,2.92
11,B-n50-k8,1360.5788931781296,1313,4.49
12,B-n51-k7,1194.1279015176785,1032,3.26
13,B-n52-k7,817.7411427995717,747,3.08
14,B-n56-k7,763.6107666402734,707,3.16
15,B-n57-k7,1291.923321978502,1153,3.17
16,B-n57-k9,1675.9855156327383,1598,3.24
17,B-n63-k10,1660.2127032230496,1537,3.7
18,B-n64-k9,937.9391345272699,861,3.18
19,B-n66-k9,1422.2996830336206,1374,3.92
20,B-n67-k10,1129.8015468103038,1033,4.07
21,B-n68-k9,1345.9684791523655,1304,3.19
22,B-n78-k10,1345.1867808112156,1266,3.62
