,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,686.8326540631386,672,2.01
1,B-n34-k5,822.7020211855199,788,2.03
2,B-n35-k5,1018.1846712216065,955,2.62
3,B-n38-k6,833.5174473651986,805,2.31
4,B-n39-k5,589.603645229098,549,2.14
5,B-n41-k6,909.3234304183633,829,2.52
6,B-n43-k6,768.1912699797424,742,2.08
7,B-n44-k7,962.5095657859758,909,4.1
8,B-n45-k5,774.7104690896065,751,2.54
9,B-n45-k6,739.0594345269228,678,2.45
10,B-n50-k7,770.955537631349,741,2.3
11,B-n50-k8,1355.6616092402357,1313,2.9
12,B-n51-k7,1190.793620103752,1032,2.74
13,B-n52-k7,816.6986440056786,747,2.38
14,B-n56-k7,763.3767224809533,707,2.73
15,B-n57-k7,1289.3861923561844,1153,2.95
16,B-n57-k9,1659.8690784348762,1598,2.41
17,B-n63-k10,1634.596802298397,1537,2.75
18,B-n64-k9,919.1799530763577,861,3.0
19,B-n66-k9,1420.414944394819,1374,3.42
20,B-n67-k10,1127.4111159225142,1033,2.62
21,B-n68-k9,1342.7410308974263,1304,3.09
22,B-n78-k10,1339.6423951857712,1266,3.69
