,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,687.0442468700239,672,2.41
1,B-n34-k5,932.5930600825401,788,2.4
2,B-n35-k5,1027.580071715736,955,2.27
3,B-n38-k6,842.0485699616847,805,2.49
4,B-n39-k5,596.1051167748944,549,2.41
5,B-n41-k6,905.5365920712898,829,2.68
6,B-n43-k6,770.0547965806718,742,2.64
7,B-n44-k7,952.8393337120302,909,2.55
8,B-n45-k5,780.5619521819209,751,2.3
9,B-n45-k6,736.5760669708806,678,2.56
10,B-n50-k7,774.5519651958745,741,3.51
11,B-n50-k8,1371.2947542337793,1313,2.6
12,B-n51-k7,1192.437276206913,1032,2.83
13,B-n52-k7,818.394925457431,747,2.73
14,B-n56-k7,763.6107666402734,707,3.08
15,B-n57-k7,1286.2398461558157,1153,3.92
16,B-n57-k9,1663.4036656822461,1598,2.92
17,B-n63-k10,1669.9191835241481,1537,5.73
18,B-n64-k9,938.3800449614489,861,3.09
19,B-n66-k9,1420.9167730780332,1374,2.99
20,B-n67-k10,1126.589801156296,1033,3.22
21,B-n68-k9,1337.5360125094649,1304,2.85
22,B-n78-k10,1343.0317123878378,1266,3.26
