,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,682.7779642373243,672,2.06
1,B-n34-k5,926.9787120960675,788,2.31
2,B-n35-k5,1007.4677036150649,955,2.01
3,B-n38-k6,834.8822298083628,805,2.12
4,B-n39-k5,574.602805042131,549,2.21
5,B-n41-k6,901.246981766202,829,2.58
6,B-n43-k6,754.7008757027975,742,2.27
7,B-n44-k7,950.6710061988148,909,2.23
8,B-n45-k5,764.6309304044928,751,2.2
9,B-n45-k6,726.6490478029386,678,2.16
10,B-n50-k7,756.095169374964,741,2.53
11,B-n50-k8,1368.9432305658916,1313,2.3
12,B-n51-k7,1187.7041717746176,1032,2.31
13,B-n52-k7,809.6570359322756,747,2.27
14,B-n56-k7,750.7077915163493,707,2.6
15,B-n57-k7,1282.823190711327,1153,2.36
16,B-n57-k9,1656.251924925686,1598,2.25
17,B-n63-k10,1630.8297558311995,1537,2.89
18,B-n64-k9,931.2100351915412,861,2.58
19,B-n66-k9,1413.146562302591,1374,2.73
20,B-n67-k10,1100.2601877601242,1033,2.9
21,B-n68-k9,1323.441794201673,1304,2.63
22,B-n78-k10,1329.9637024441558,1266,2.97
