,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,687.0442468700239,672,2.67
1,B-n34-k5,932.5930600825401,788,2.76
2,B-n35-k5,1027.9240293959542,955,2.41
3,B-n38-k6,842.0485699616847,805,2.92
4,B-n39-k5,596.1051167748944,549,2.67
5,B-n41-k6,902.3027098562029,829,3.16
6,B-n43-k6,770.0547965806718,742,2.95
7,B-n44-k7,952.8393337120302,909,2.85
8,B-n45-k5,780.5619521819209,751,2.9
9,B-n45-k6,736.5760669708806,678,2.82
10,B-n50-k7,774.5519651958745,741,3.01
11,B-n50-k8,1369.8832982159906,1313,3.08
12,B-n51-k7,1191.5511967562231,1032,3.26
13,B-n52-k7,818.394925457431,747,3.25
14,B-n56-k7,763.6107666402734,707,3.31
15,B-n57-k7,1286.2398461558157,1153,3.26
16,B-n57-k9,1667.896102201458,1598,3.56
17,B-n63-k10,1669.9191835241481,1537,3.44
18,B-n64-k9,938.3800449614489,861,3.44
19,B-n66-k9,1420.9167730780332,1374,3.42
20,B-n67-k10,1129.1586773518131,1033,3.57
21,B-n68-k9,1345.380780197755,1304,3.26
22,B-n78-k10,1343.0317123878378,1266,4.09
