,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,682.7779642373243,672,1.96
1,B-n34-k5,926.9787120960675,788,2.14
2,B-n35-k5,1006.8382069501046,955,1.89
3,B-n38-k6,834.8822298083628,805,2.21
4,B-n39-k5,567.0010871865854,549,2.14
5,B-n41-k6,900.8012312012813,829,2.43
6,B-n43-k6,753.1788877870421,742,2.45
7,B-n44-k7,950.0426925158271,909,2.13
8,B-n45-k5,757.7651032921578,751,2.22
9,B-n45-k6,726.6490478029386,678,2.4
10,B-n50-k7,749.1156985817249,741,2.52
11,B-n50-k8,1368.7721713510782,1313,2.42
12,B-n51-k7,1186.8698584296687,1032,2.67
13,B-n52-k7,807.8399203903958,747,2.67
14,B-n56-k7,747.8508102880314,707,2.63
15,B-n57-k7,1282.0595098496478,1153,2.64
16,B-n57-k9,1651.392549572501,1598,2.52
17,B-n63-k10,1630.515093599776,1537,3.05
18,B-n64-k9,923.981953042495,861,2.81
19,B-n66-k9,1412.663336270851,1374,2.67
20,B-n67-k10,1107.185449174821,1033,2.96
21,B-n68-k9,1320.564261009086,1304,2.75
22,B-n78-k10,1324.287584728451,1266,3.27
