,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,685.650808939984,672,2.04
1,B-n34-k5,930.9786481463134,788,2.13
2,B-n35-k5,1007.838969511969,955,2.24
3,B-n38-k6,837.9875386948963,805,2.16
4,B-n39-k5,596.1051167748944,549,1.96
5,B-n41-k6,905.5365920712898,829,2.08
6,B-n43-k6,769.8456235065391,742,2.2
7,B-n44-k7,953.3328560765103,909,2.43
8,B-n45-k5,772.4174251079672,751,2.48
9,B-n45-k6,731.565061146241,678,2.29
10,B-n50-k7,773.1878754123047,741,2.24
11,B-n50-k8,1344.9790727507852,1313,2.22
12,B-n51-k7,1186.9391553895366,1032,2.7
13,B-n52-k7,818.3011540147826,747,2.66
14,B-n56-k7,763.6107666402734,707,2.61
15,B-n57-k7,1209.1150343794855,1153,2.56
16,B-n57-k9,1657.3257545926015,1598,2.35
17,B-n63-k10,1666.3162993556214,1537,2.65
18,B-n64-k9,923.6619239783813,861,2.83
19,B-n66-k9,1411.1877632966196,1374,2.57
20,B-n67-k10,1126.589801156296,1033,2.81
21,B-n68-k9,1331.152592582451,1304,2.65
22,B-n78-k10,1342.591297415858,1266,3.02
