,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,687.0442468700239,672,2.79
1,B-n34-k5,932.5930600825401,788,2.66
2,B-n35-k5,1025.2399657245903,955,3.44
3,B-n38-k6,840.7765901575838,805,2.97
4,B-n39-k5,596.1051167748944,549,2.71
5,B-n41-k6,909.3234304183633,829,3.78
6,B-n43-k6,770.0547965806718,742,3.35
7,B-n44-k7,952.8393337120302,909,2.79
8,B-n45-k5,780.5619521819209,751,3.15
9,B-n45-k6,736.5760669708806,678,3.1
10,B-n50-k7,774.5519651958745,741,3.01
11,B-n50-k8,1357.57101131661,1313,2.89
12,B-n51-k7,1192.437276206913,1032,3.16
13,B-n52-k7,817.2233525821772,747,3.09
14,B-n56-k7,763.6107666402734,707,3.12
15,B-n57-k7,1286.2398461558157,1153,3.75
16,B-n57-k9,1665.1891646235695,1598,3.49
17,B-n63-k10,1636.8234861489261,1537,3.74
18,B-n64-k9,937.9391345272699,861,3.38
19,B-n66-k9,1412.9396696142016,1374,3.55
20,B-n67-k10,1125.8358187122228,1033,4.01
21,B-n68-k9,1341.385004254632,1304,3.38
22,B-n78-k10,1341.9014178523798,1266,3.46
