,Name,Best Solution Cost,Optimal Value,Run Time
0,B-n31-k5,682.7779642373243,672,1.6
1,B-n34-k5,928.7688388598424,788,1.56
2,B-n35-k5,1006.8382069501046,955,1.48
3,B-n38-k6,834.8822298083628,805,1.6
4,B-n39-k5,574.7237905153122,549,1.5
5,B-n41-k6,910.818821176655,829,1.82
6,B-n43-k6,759.9870173112513,742,1.64
7,B-n44-k7,951.3480197882959,909,1.79
8,B-n45-k5,764.6309304044928,751,1.69
9,B-n45-k6,726.6490478029386,678,2.11
10,B-n50-k7,756.0000902909815,741,2.11
11,B-n50-k8,1368.7721713510782,1313,1.97
12,B-n51-k7,1192.8731489432203,1032,2.15
13,B-n52-k7,809.4670534961141,747,1.89
14,B-n56-k7,750.7077915163493,707,2.11
15,B-n57-k7,1289.4645056310574,1153,2.25
16,B-n57-k9,1670.1460511231212,1598,2.49
17,B-n63-k10,1630.8297558311995,1537,2.71
18,B-n64-k9,929.1839837773285,861,2.41
19,B-n66-k9,1418.826774965633,1374,2.4
20,B-n67-k10,1100.7650648482497,1033,2.96
21,B-n68-k9,1325.1649458515928,1304,2.27
22,B-n78-k10,1328.2357880700497,1266,2.61
