,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,1172.076551324781,681,3.6
1,P-n16-k8,451.33508020861797,435,3.0
2,P-n19-k2,250.18021664782185,212,1.36
3, P-n20-k2,271.8893250084679,220,1.28
4,P-n21-k2,241.48500979988216,211,1.39
5,P-n22-k2,296.7419428074338,216,1.37
6,P-n22-k8,603.3145457137728,603,2.95
7,P-n23-k8,541.5680520867375,554,3.05
8,P-n40-k5.vrp,504.6106938228737,458,2.29
9,P-n45-k5,570.2387266589519,510,2.73
10,P-n50-k10,788.4531915506715,696,3.41
11, P-n50-k7,643.2078659315221,554,2.68
12,P-n50-k8,749.8631595266226,649,3.14
13,P-n51-k10,904.3448093958543,745,2.97
14,P-n55-k10,786.5383469511531,669,2.96
15,P-n55-k15,1082.9703431777978,856,3.74
16,P-n55-k7,686.2858832167065,524,2.79
17,P-n55-k8,659.3830870008559,576,2.46
18,P-n60-k10,926.6640892125631,706,3.3
19,P-n60-k15,1093.9113687877928,905,4.07
20,P-n65-k10,991.2522999116273,792,3.6
21,P-n70-k10,1034.836952659814,834,3.12
22,P-n76-k4,931.8226969343117,589,2.48
23,P-n76-k5,1055.9720229788682,631,2.61
