,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,772.1287166994393,681,1.89
1,P-n16-k8,478.77113006541214,435,1.65
2,P-n19-k2,220.64313526472105,212,0.89
3, P-n20-k2,240.98212302462622,220,1.06
4,P-n21-k2,241.87817088866103,211,0.99
5,P-n22-k2,249.24778279110046,216,1.04
6,P-n22-k8,589.391693693543,603,1.55
7,P-n23-k8,563.5222590258682,554,1.65
8,P-n40-k5.vrp,524.0380029267802,458,2.64
9,P-n45-k5,555.5211862232816,510,3.31
10,P-n50-k10,742.6716388087791,696,2.39
11, P-n50-k7,617.015486614702,554,1.91
12,P-n50-k8,667.9582277322689,649,2.12
13,P-n51-k10,821.6878489929594,745,2.34
14,P-n55-k10,751.3797123668427,669,2.37
15,P-n55-k15,995.4406336342014,856,3.25
16,P-n55-k7,619.6992083616057,524,2.19
17,P-n55-k8,626.2758512036752,576,1.96
18,P-n60-k10,818.7125237130527,706,2.28
19,P-n60-k15,1033.7863242179012,905,3.23
20,P-n65-k10,862.8005175535137,792,2.13
21,P-n70-k10,892.3710515042153,834,2.43
22,P-n76-k4,699.4570892812155,589,1.88
23,P-n76-k5,726.1352621875452,631,1.72
