,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,760.7322466222262,681,1.76
1,P-n16-k8,478.77113006541214,435,1.58
2,P-n19-k2,220.64313526472105,212,0.86
3, P-n20-k2,240.98212302462622,220,1.05
4,P-n21-k2,241.87817088866103,211,0.9
5,P-n22-k2,247.03615966386315,216,0.99
6,P-n22-k8,589.391693693543,603,1.99
7,P-n23-k8,563.5222590258682,554,1.83
8,P-n40-k5.vrp,524.0380029267802,458,1.44
9,P-n45-k5,555.5211862232816,510,1.22
10,P-n50-k10,736.6074766128636,696,2.4
11, P-n50-k7,610.503791976452,554,1.69
12,P-n50-k8,656.5373753337302,649,1.79
13,P-n51-k10,819.7590327169936,745,1.92
14,P-n55-k10,735.0463329898224,669,2.5
15,P-n55-k15,994.0859257800948,856,2.7
16,P-n55-k7,598.6808933662873,524,2.02
17,P-n55-k8,618.154940706962,576,1.67
18,P-n60-k10,812.274314624725,706,2.39
19,P-n60-k15,1026.4162900482947,905,3.07
20,P-n65-k10,852.1246697087838,792,2.47
21,P-n70-k10,884.5222918785064,834,2.43
22,P-n76-k4,667.4185993618404,589,1.73
23,P-n76-k5,698.6413012753596,631,1.7
