,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,778.3138909186638,681,1.91
1,P-n16-k8,462.68870249339477,435,2.03
2,P-n19-k2,220.64313526472105,212,1.07
3, P-n20-k2,240.9472713574032,220,0.84
4,P-n21-k2,226.32219493999753,211,0.93
5,P-n22-k2,240.59947016854775,216,0.9
6,P-n22-k8,589.391693693543,603,1.86
7,P-n23-k8,552.9476907071962,554,1.86
8,P-n40-k5.vrp,510.2474119442075,458,1.51
9,P-n45-k5,562.5278261941535,510,1.5
10,P-n50-k10,738.4428840596896,696,2.39
11, P-n50-k7,610.5566769508521,554,1.82
12,P-n50-k8,686.3850961993778,649,2.13
13,P-n51-k10,801.0340583242646,745,2.58
14,P-n55-k10,739.3434329492228,669,2.17
15,P-n55-k15,987.1502354544364,856,3.41
16,P-n55-k7,626.1813077169431,524,1.95
17,P-n55-k8,628.9068468105927,576,2.11
18,P-n60-k10,818.7125237130527,706,2.56
19,P-n60-k15,1037.9800392338532,905,3.3
20,P-n65-k10,864.9676651500375,792,2.57
21,P-n70-k10,897.1494164061105,834,2.6
22,P-n76-k4,689.8643419570423,589,1.86
23,P-n76-k5,715.1520531763581,631,2.23
