,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,778.3138909186638,681,2.71
1,P-n16-k8,451.9470921298185,435,2.92
2,P-n19-k2,220.64313526472105,212,1.77
3, P-n20-k2,240.34472161789566,220,1.69
4,P-n21-k2,236.36787355950128,211,1.74
5,P-n22-k2,238.96317678727934,216,1.51
6,P-n22-k8,589.391693693543,603,2.78
7,P-n23-k8,554.3058928336959,554,2.7
8,P-n40-k5.vrp,524.0380029267802,458,2.27
9,P-n45-k5,559.7146231771044,510,2.12
10,P-n50-k10,742.3564313167955,696,2.78
11, P-n50-k7,606.9741886468564,554,2.54
12,P-n50-k8,686.8828458368425,649,2.49
13,P-n51-k10,800.876150836416,745,2.94
14,P-n55-k10,739.7186131711898,669,2.57
15,P-n55-k15,976.9532920727817,856,3.41
16,P-n55-k7,609.8993976330402,524,2.45
17,P-n55-k8,628.9068468105927,576,2.6
18,P-n60-k10,818.7125237130527,706,2.83
19,P-n60-k15,1026.9689853829793,905,3.26
20,P-n65-k10,868.00180080577,792,2.97
21,P-n70-k10,896.9101499927704,834,2.83
22,P-n76-k4,680.87170852553,589,2.39
23,P-n76-k5,703.6738896255416,631,2.62
