,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,777.9132378222494,681,3.62
1,P-n16-k8,478.77113006541214,435,9.46
2,P-n19-k2,220.64313526472105,212,5.36
3, P-n20-k2,240.98212302462622,220,2.54
4,P-n21-k2,241.87817088866103,211,2.63
5,P-n22-k2,249.24778279110046,216,2.57
6,P-n22-k8,589.391693693543,603,9.01
7,P-n23-k8,555.1595578647857,554,3.93
8,P-n40-k5.vrp,524.0380029267802,458,2.95
9,P-n45-k5,572.0171459461703,510,2.59
10,P-n50-k10,746.0606730341716,696,3.34
11, P-n50-k7,617.015486614702,554,3.12
12,P-n50-k8,688.4360828763454,649,2.98
13,P-n51-k10,820.2020541686426,745,3.35
14,P-n55-k10,751.3797123668427,669,3.03
15,P-n55-k15,995.4406336342014,856,4.35
16,P-n55-k7,622.5240218806885,524,2.86
17,P-n55-k8,625.2495609743379,576,3.14
18,P-n60-k10,818.172012520751,706,3.39
19,P-n60-k15,1039.6256785779392,905,3.53
20,P-n65-k10,877.1598378760772,792,3.36
21,P-n70-k10,894.2523356773133,834,3.36
22,P-n76-k4,690.9807143671532,589,3.66
23,P-n76-k5,725.7687961174374,631,3.14
