,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,777.0838629543997,681,3.23
1,P-n16-k8,473.78211236451153,435,3.13
2,P-n19-k2,220.64313526472105,212,1.89
3, P-n20-k2,240.98212302462622,220,1.89
4,P-n21-k2,241.87817088866103,211,1.78
5,P-n22-k2,249.24778279110046,216,1.88
6,P-n22-k8,588.7935242586069,603,2.44
7,P-n23-k8,548.8714335594775,554,2.41
8,P-n40-k5.vrp,524.0380029267802,458,2.21
9,P-n45-k5,572.0171459461703,510,2.43
10,P-n50-k10,739.0359794397827,696,3.07
11, P-n50-k7,617.015486614702,554,2.57
12,P-n50-k8,688.4360828763454,649,2.78
13,P-n51-k10,810.4641218321292,745,2.83
14,P-n55-k10,747.487647051613,669,2.89
15,P-n55-k15,995.0924667803407,856,3.89
16,P-n55-k7,623.2591294980768,524,2.6
17,P-n55-k8,628.9068468105927,576,2.63
18,P-n60-k10,812.210252757763,706,3.13
19,P-n60-k15,1037.6603628239604,905,3.78
20,P-n65-k10,877.1598378760772,792,3.09
21,P-n70-k10,893.1110455814885,834,2.92
22,P-n76-k4,684.8314799858761,589,2.85
23,P-n76-k5,722.2739000524301,631,2.85
