,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,758.6885387451066,681,2.9
1,P-n16-k8,473.78211236451153,435,2.23
2,P-n19-k2,220.64313526472105,212,1.64
3, P-n20-k2,240.98212302462622,220,1.7
4,P-n21-k2,241.87817088866103,211,1.66
5,P-n22-k2,249.24778279110046,216,1.54
6,P-n22-k8,588.7935242586069,603,2.12
7,P-n23-k8,545.2278394670176,554,2.21
8,P-n40-k5.vrp,524.0380029267802,458,2.24
9,P-n45-k5,565.5993047696992,510,2.04
10,P-n50-k10,734.8183054113751,696,2.81
11, P-n50-k7,610.503791976452,554,2.43
12,P-n50-k8,661.6473069820571,649,2.32
13,P-n51-k10,810.4641218321292,745,2.89
14,P-n55-k10,731.1542676745926,669,2.45
15,P-n55-k15,991.0607786695555,856,3.63
16,P-n55-k7,611.0582140147677,524,2.39
17,P-n55-k8,623.6174574931622,576,2.53
18,P-n60-k10,797.8942159973873,706,2.44
19,P-n60-k15,1010.0004476881409,905,3.68
20,P-n65-k10,854.275214468356,792,2.91
21,P-n70-k10,880.2324686375263,834,3.12
22,P-n76-k4,663.3823910589765,589,2.68
23,P-n76-k5,694.0955306461741,631,2.49
