,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,777.0838629543997,681,4.01
1,P-n16-k8,473.78211236451153,435,2.77
2,P-n19-k2,220.64313526472105,212,2.72
3, P-n20-k2,240.98212302462622,220,2.86
4,P-n21-k2,241.87817088866103,211,2.66
5,P-n22-k2,249.24778279110046,216,2.85
6,P-n22-k8,588.7935242586069,603,2.69
7,P-n23-k8,543.4221270412532,554,2.93
8,P-n40-k5.vrp,524.0380029267802,458,2.94
9,P-n45-k5,572.0171459461703,510,2.86
10,P-n50-k10,739.0359794397827,696,3.27
11, P-n50-k7,617.015486614702,554,3.14
12,P-n50-k8,688.4360828763454,649,3.37
13,P-n51-k10,821.6878489929594,745,3.36
14,P-n55-k10,747.487647051613,669,3.73
15,P-n55-k15,995.0924667803407,856,4.1
16,P-n55-k7,623.2591294980768,524,3.09
17,P-n55-k8,628.9068468105927,576,3.34
18,P-n60-k10,812.210252757763,706,3.55
19,P-n60-k15,1036.911979775233,905,3.95
20,P-n65-k10,877.1598378760772,792,3.49
21,P-n70-k10,885.9540062479455,834,3.79
22,P-n76-k4,684.8314799858761,589,3.95
23,P-n76-k5,722.2739000524301,631,3.74
