,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,753.6293020049745,681,2.63
1,P-n16-k8,473.78211236451153,435,2.25
2,P-n19-k2,220.64313526472105,212,1.87
3, P-n20-k2,240.98212302462622,220,1.6
4,P-n21-k2,241.87817088866103,211,1.9
5,P-n22-k2,247.03615966386315,216,1.89
6,P-n22-k8,588.7935242586069,603,2.16
7,P-n23-k8,543.50153579295,554,2.43
8,P-n40-k5.vrp,524.0380029267802,458,2.02
9,P-n45-k5,555.5211862232816,510,2.0
10,P-n50-k10,733.9191509150716,696,2.77
11, P-n50-k7,610.503791976452,554,2.46
12,P-n50-k8,656.5373753337302,649,2.37
13,P-n51-k10,810.4641218321292,745,2.54
14,P-n55-k10,731.1542676745926,669,3.09
15,P-n55-k15,991.0607786695555,856,3.45
16,P-n55-k7,598.6808933662873,524,2.41
17,P-n55-k8,618.154940706962,576,2.66
18,P-n60-k10,796.5740016077972,706,2.8
19,P-n60-k15,1010.0004476881409,905,3.68
20,P-n65-k10,851.7676710304307,792,3.19
21,P-n70-k10,880.2324686375263,834,2.83
22,P-n76-k4,655.1922873355848,589,2.38
23,P-n76-k5,691.2862804146946,631,2.66
