,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,777.0838629543997,681,2.95
1,P-n16-k8,451.94709212981854,435,2.1
2,P-n19-k2,220.64313526472105,212,1.74
3, P-n20-k2,217.41558334616656,220,1.43
4,P-n21-k2,212.71153970290388,211,1.78
5,P-n22-k2,238.29682754935396,216,1.7
6,P-n22-k8,588.7935242586069,603,2.19
7,P-n23-k8,546.4215005122797,554,2.53
8,P-n40-k5.vrp,524.0380029267802,458,1.85
9,P-n45-k5,559.7146231771044,510,2.08
10,P-n50-k10,734.376768510562,696,2.9
11, P-n50-k7,612.6661201840894,554,2.33
12,P-n50-k8,677.4493400761751,649,2.57
13,P-n51-k10,790.9911453359724,745,2.76
14,P-n55-k10,735.4007006549989,669,2.61
15,P-n55-k15,974.3901363195299,856,3.69
16,P-n55-k7,623.2591294980768,524,3.69
17,P-n55-k8,628.9068468105927,576,2.84
18,P-n60-k10,804.3328497963142,706,3.05
19,P-n60-k15,1009.4911236590458,905,3.66
20,P-n65-k10,873.7668936886528,792,3.02
21,P-n70-k10,885.4447723844639,834,2.84
22,P-n76-k4,677.8817304030051,589,2.75
23,P-n76-k5,716.5952341194884,631,2.56
