,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,777.0838629543997,681,5.14
1,P-n16-k8,473.7821123645115,435,4.07
2,P-n19-k2,220.64313526472105,212,2.5
3, P-n20-k2,240.98212302462622,220,6.08
4,P-n21-k2,241.87817088866103,211,2.53
5,P-n22-k2,249.24778279110046,216,2.8
6,P-n22-k8,588.7935242586069,603,3.62
7,P-n23-k8,543.1351735524503,554,2.98
8,P-n40-k5.vrp,524.0380029267802,458,2.85
9,P-n45-k5,572.0171459461703,510,2.88
10,P-n50-k10,739.0359794397827,696,3.26
11, P-n50-k7,617.0154866147019,554,3.15
12,P-n50-k8,687.4575081791187,649,3.14
13,P-n51-k10,816.5364699439231,745,3.21
14,P-n55-k10,747.487647051613,669,2.98
15,P-n55-k15,995.0924667803407,856,4.07
16,P-n55-k7,618.0819276872206,524,3.18
17,P-n55-k8,628.9068468105927,576,3.13
18,P-n60-k10,812.7254458149989,706,3.41
19,P-n60-k15,1033.3387291196718,905,3.91
20,P-n65-k10,877.1598378760772,792,3.28
21,P-n70-k10,876.4058477557711,834,3.89
22,P-n76-k4,684.723387107872,589,3.41
23,P-n76-k5,710.1437792005479,631,3.62
