,Name,Best Solution Cost,Optimal Value,Run Time
0,P-n101-k4,762.5592412425063,681,1.79
1,P-n16-k8,478.77113006541214,435,1.95
2,P-n19-k2,220.64313526472105,212,0.97
3, P-n20-k2,240.98212302462622,220,1.05
4,P-n21-k2,241.87817088866103,211,1.05
5,P-n22-k2,247.03615966386315,216,1.05
6,P-n22-k8,589.391693693543,603,1.78
7,P-n23-k8,563.5222590258682,554,1.85
8,P-n40-k5.vrp,524.0380029267802,458,1.55
9,P-n45-k5,565.5993047696992,510,1.48
10,P-n50-k10,737.5066311091672,696,2.32
11, P-n50-k7,610.503791976452,554,1.98
12,P-n50-k8,656.5373753337302,649,2.14
13,P-n51-k10,819.7590327169936,745,2.36
14,P-n55-k10,735.0463329898224,669,2.26
15,P-n55-k15,994.0859257800948,856,3.14
16,P-n55-k7,611.0582140147677,524,1.93
17,P-n55-k8,623.6174574931622,576,1.97
18,P-n60-k10,812.274314624725,706,2.67
19,P-n60-k15,1026.4162900482947,905,3.4
20,P-n65-k10,857.0237154224017,792,2.49
21,P-n70-k10,884.5222918785064,834,2.78
22,P-n76-k4,672.0418635176159,589,2.01
23,P-n76-k5,702.9436474225405,631,2.29
