,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,844.4912686812776,784,1.61
1,A-n33-k5,703.7976518050444,661,1.4
2,A-n33-k6,746.7429846841342,742,1.3
3,A-n34-k5,795.5128259645364,778,1.42
4,A-n36-k5,879.6948084236443,799,1.31
5,A-n37-k5,739.8574325128618,669,1.37
6,A-n37-k6,1000.2470645884274,949,1.56
7,A-n38-k5,764.1236553696863,730,1.52
8,A-n39-k5,877.7988957570218,822,1.37
9,A-n39-k6,848.0859088996582,831,2.2
10,A-n44-k6,973.9909324860383,937,1.71
11,A-n45-k6,1011.470640714354,944,1.54
12,A-n45-k7,1154.4267598044646,1146,1.79
13,A-n46-k7,947.7410278956493,914,1.62
14,A-n48-k7,1144.525419353678,1073,1.76
15,A-n53-k7,1100.9354071950977,1010,1.71
16,A-n54-k7,1193.5915559726516,1167,1.79
17,A-n55-k9,1105.1815606834034,1073,2.1
18,A-n60-k9,1399.6555086599355,1408,1.84
19,A-n61-k9,1074.104103521867,1035,2.11
20,A-n62-k8,1373.5679138507346,1290,1.84
21,A-n63-k10,1400.6947681832535,1315,2.04
22,A-n63-k9,1697.1909506751456,1634,2.19
23,A-n64-k9,1473.408854511115,1402,2.14
24,A-n65-k9,1281.2385778185435,1177,2.39
25,A-n69-k9,1238.9073968576433,1168,2.15
26,A-n80-k10,1915.3976985350034,1764,2.45
27,B-n31-k5,682.7779642373242,672,1.36
28,B-n34-k5,926.9787120960676,788,1.52
29,B-n35-k5,1006.8382069501047,955,1.49
30,B-n38-k6,834.8822298083627,805,1.73
31,B-n39-k5,565.9318716304032,549,1.28
32,B-n41-k6,910.818821176655,829,1.45
33,B-n43-k6,758.4650293954959,742,1.87
34,B-n44-k7,959.6700595975716,909,1.47
35,B-n45-k5,757.7651032921577,751,1.66
36,B-n45-k6,726.6490478029386,678,1.52
37,B-n50-k7,749.1156985817248,741,1.88
38,B-n50-k8,1368.7721713510782,1313,1.87
39,B-n51-k7,1191.449798946037,1032,1.79
40,B-n52-k7,806.7862274901573,747,1.57
41,B-n56-k7,747.8508102880313,707,1.73
42,B-n57-k7,1287.53235218128,1153,2.12
43,B-n57-k9,1665.6061684599736,1598,1.9
44,B-n63-k10,1640.487062325837,1537,2.14
45,B-n64-k9,923.8984489552327,861,2.77
46,B-n66-k9,1394.8047384620672,1374,2.45
47,B-n67-k10,1103.366337648841,1033,2.45
48,B-n68-k9,1326.2478618541984,1304,1.97
49,B-n78-k10,1325.871882157069,1266,2.62
50,P-n101-k4,760.7322466222263,681,1.76
51,P-n16-k8,478.7711300654122,435,1.58
52,P-n19-k2,220.64313526472102,212,0.86
53, P-n20-k2,240.98212302462625,220,1.05
54,P-n21-k2,241.87817088866103,211,0.9
55,P-n22-k2,247.03615966386315,216,0.99
56,P-n22-k8,589.3916936935431,603,1.99
57,P-n23-k8,563.5222590258683,554,1.83
58,P-n40-k5.vrp,524.0380029267802,458,1.44
59,P-n45-k5,555.5211862232816,510,1.22
60,P-n50-k10,736.6074766128636,696,2.4
61, P-n50-k7,610.503791976452,554,1.69
62,P-n50-k8,656.5373753337302,649,1.79
63,P-n51-k10,819.7590327169936,745,1.92
64,P-n55-k10,735.0463329898224,669,2.5
65,P-n55-k15,994.0859257800947,856,2.7
66,P-n55-k7,598.6808933662873,524,2.02
67,P-n55-k8,618.154940706962,576,1.67
68,P-n60-k10,812.2743146247251,706,2.39
69,P-n60-k15,1026.4162900482947,905,3.07
70,P-n65-k10,852.1246697087837,792,2.47
71,P-n70-k10,884.5222918785063,834,2.43
72,P-n76-k4,667.4185993618404,589,1.73
73,P-n76-k5,698.6413012753596,631,1.7
