,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,2.43
1,A-n33-k5,726.0443968088298,661,2.01
2,A-n33-k6,753.4638559892887,742,2.35
3,A-n34-k5,809.6304358393013,778,2.26
4,A-n36-k5,887.0139730633708,799,2.27
5,A-n37-k5,739.7462493341739,669,2.25
6,A-n37-k6,1008.707424359539,949,2.6
7,A-n38-k5,786.026563945698,730,3.0
8,A-n39-k5,930.7344242885116,822,2.61
9,A-n39-k6,929.5337220171537,831,2.51
10,A-n44-k6,1016.0297958496252,937,2.68
11,A-n45-k6,1026.0547225649543,944,2.85
12,A-n45-k7,1171.6329563624051,1146,2.78
13,A-n46-k7,985.1080426734268,914,2.67
14,A-n48-k7,1196.4632546886548,1073,3.11
15,A-n53-k7,1111.9616807299994,1010,3.09
16,A-n54-k7,1233.3377392901225,1167,2.66
17,A-n55-k9,1137.534431520052,1073,3.34
18,A-n60-k9,1432.0981035767652,1408,3.51
19,A-n61-k9,1097.9897383612338,1035,3.92
20,A-n62-k8,1396.6514860324082,1290,3.3
21,A-n63-k10,1415.826767888264,1315,4.74
22,A-n63-k9,1734.595729322037,1634,3.47
23,A-n64-k9,1472.5737002189705,1402,3.45
24,A-n65-k9,1294.0243631210346,1177,3.23
25,A-n69-k9,1271.8657980513224,1168,3.1
26,A-n80-k10,1949.0660726175872,1764,3.17
27,B-n31-k5,687.0442468700239,672,2.41
28,B-n34-k5,932.59306008254,788,2.4
29,B-n35-k5,1027.580071715736,955,2.27
30,B-n38-k6,842.0485699616847,805,2.49
31,B-n39-k5,596.1051167748944,549,2.41
32,B-n41-k6,905.5365920712899,829,2.68
33,B-n43-k6,770.0547965806717,742,2.64
34,B-n44-k7,952.8393337120302,909,2.55
35,B-n45-k5,780.5619521819209,751,2.3
36,B-n45-k6,736.5760669708806,678,2.56
37,B-n50-k7,774.5519651958745,741,3.51
38,B-n50-k8,1371.2947542337793,1313,2.6
39,B-n51-k7,1192.4372762069129,1032,2.83
40,B-n52-k7,818.394925457431,747,2.73
41,B-n56-k7,763.6107666402735,707,3.08
42,B-n57-k7,1286.2398461558155,1153,3.92
43,B-n57-k9,1663.4036656822461,1598,2.92
44,B-n63-k10,1669.919183524148,1537,5.73
45,B-n64-k9,938.3800449614488,861,3.09
46,B-n66-k9,1420.9167730780332,1374,2.99
47,B-n67-k10,1126.5898011562958,1033,3.22
48,B-n68-k9,1337.5360125094646,1304,2.85
49,B-n78-k10,1343.0317123878376,1266,3.26
50,P-n101-k4,777.0838629543997,681,3.23
51,P-n16-k8,473.7821123645115,435,3.13
52,P-n19-k2,220.64313526472102,212,1.89
53, P-n20-k2,240.98212302462625,220,1.89
54,P-n21-k2,241.87817088866103,211,1.78
55,P-n22-k2,249.24778279110046,216,1.88
56,P-n22-k8,588.7935242586069,603,2.44
57,P-n23-k8,548.8714335594775,554,2.41
58,P-n40-k5.vrp,524.0380029267802,458,2.21
59,P-n45-k5,572.0171459461702,510,2.43
60,P-n50-k10,739.0359794397827,696,3.07
61, P-n50-k7,617.015486614702,554,2.57
62,P-n50-k8,688.4360828763454,649,2.78
63,P-n51-k10,810.4641218321292,745,2.83
64,P-n55-k10,747.487647051613,669,2.89
65,P-n55-k15,995.0924667803407,856,3.89
66,P-n55-k7,623.2591294980767,524,2.6
67,P-n55-k8,628.9068468105927,576,2.63
68,P-n60-k10,812.2102527577631,706,3.13
69,P-n60-k15,1037.6603628239604,905,3.78
70,P-n65-k10,877.1598378760773,792,3.09
71,P-n70-k10,893.1110455814885,834,2.92
72,P-n76-k4,684.8314799858762,589,2.85
73,P-n76-k5,722.2739000524301,631,2.85
