,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1048.8325763144346,784,5.98
1,A-n33-k5,900.4397553135371,661,4.73
2,A-n33-k6,1016.8490041379583,742,4.11
3,A-n34-k5,1090.5837497251914,778,4.94
4,A-n36-k5,1158.7362076413851,799,4.81
5,A-n37-k5,1007.8470821536922,669,5.11
6,A-n37-k6,1264.9808646299634,949,5.05
7,A-n38-k5,1064.8778074458596,730,5.44
8,A-n39-k5,1189.5709188703902,822,5.24
9,A-n39-k6,1223.5504491336128,831,5.2
10,A-n44-k6,1232.7053276059223,937,5.28
11,A-n45-k6,1391.474120980009,944,5.24
12,A-n45-k7,1554.640317520164,1146,5.01
13,A-n46-k7,1394.8898967769514,914,5.4
14,A-n48-k7,1528.7261292970377,1073,5.13
15,A-n53-k7,1678.1566074719553,1010,5.54
16,A-n54-k7,1717.1168247244723,1167,5.65
17,A-n55-k9,1877.558588645515,1073,5.46
18,A-n60-k9,2225.5907167821506,1408,5.32
19,A-n61-k9,1699.2318542782168,1035,5.67
20,A-n62-k8,2087.1060106146588,1290,5.18
21,A-n63-k10,2074.941520359275,1315,5.91
22,A-n63-k9,2351.985169404825,1634,5.73
23,A-n64-k9,2087.299949993428,1402,6.02
24,A-n65-k9,2052.40336313037,1177,5.79
25,A-n69-k9,2232.2587431101247,1168,7.63
26,A-n80-k10,2727.452687784285,1764,6.26
27,B-n31-k5,793.4697452433227,672,5.14
28,B-n34-k5,1211.4366432064028,788,4.47
29,B-n35-k5,1327.5258207005272,955,4.73
30,B-n38-k6,1076.6857860487946,805,5.21
31,B-n39-k5,907.8401001123956,549,4.83
32,B-n41-k6,1239.3093029650545,829,5.29
33,B-n43-k6,1051.2078780354732,742,4.91
34,B-n44-k7,1394.6016778095775,909,5.16
35,B-n45-k5,1115.7261322897843,751,5.23
36,B-n45-k6,862.4688391212692,678,5.12
37,B-n50-k7,1009.8907259404615,741,5.24
38,B-n50-k8,1581.35313252502,1313,5.65
39,B-n51-k7,1661.3721457961342,1032,5.2
40,B-n52-k7,1132.957606032523,747,5.66
41,B-n56-k7,1115.2281750093077,707,5.25
42,B-n57-k7,1962.326416619902,1153,5.46
43,B-n57-k9,2030.304975312526,1598,5.67
44,B-n63-k10,2175.7979857960763,1537,5.98
45,B-n64-k9,1446.203550136761,861,5.92
46,B-n66-k9,1741.6467979601157,1374,7.61
47,B-n67-k10,1739.83181949752,1033,10.68
48,B-n68-k9,2163.386896712694,1304,7.8
49,B-n78-k10,2552.6721592016747,1266,8.67
50,P-n101-k4,1730.1034678204023,681,8.5
51,P-n16-k8,481.2210189000932,435,3.58
52,P-n19-k2,307.81083257851895,212,0.97
53, P-n20-k2,337.58612558560174,220,1.04
54,P-n21-k2,335.06961509707685,211,1.0
55,P-n22-k2,381.64437536431797,216,0.91
56,P-n22-k8,714.8758565390231,603,4.37
57,P-n23-k8,612.0627612909133,554,4.71
58,P-n40-k5.vrp,717.1167736988018,458,4.83
59,P-n45-k5,915.7653688231111,510,7.03
60,P-n50-k10,1016.9758047633404,696,7.94
61, P-n50-k7,956.0023837704689,554,5.38
62,P-n50-k8,899.31691003286,649,6.99
63,P-n51-k10,1031.2635332343032,745,5.61
64,P-n55-k10,982.0708884172308,669,6.07
65,P-n55-k15,1226.1602028260615,856,7.41
66,P-n55-k7,997.2673047317693,524,5.5
67,P-n55-k8,968.4153632167927,576,5.16
68,P-n60-k10,1151.1577840178675,706,6.3
69,P-n60-k15,1405.3093897958406,905,6.8
70,P-n65-k10,1446.765536586187,792,6.57
71,P-n70-k10,1330.672203418732,834,7.34
72,P-n76-k4,1819.7428117018599,589,8.61
73,P-n76-k5,1139.05124746852,631,8.77
