,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1076.3103464708024,784,4.0
1,A-n33-k5,1046.473921759403,661,3.27
2,A-n33-k6,924.4856912541002,742,3.38
3,A-n34-k5,1049.2886574372703,778,3.15
4,A-n36-k5,1115.595449625448,799,3.4
5,A-n37-k5,1071.0400553913955,669,3.48
6,A-n37-k6,1167.1981418878818,949,3.93
7,A-n38-k5,959.1950774949853,730,3.68
8,A-n39-k5,1189.9078664050287,822,6.69
9,A-n39-k6,1136.4951066779165,831,3.68
10,A-n44-k6,1321.4914735514005,937,6.88
11,A-n45-k6,1311.3805437045128,944,4.04
12,A-n45-k7,1630.9606182099433,1146,3.53
13,A-n46-k7,1271.4227171163957,914,4.19
14,A-n48-k7,1476.1466900232754,1073,3.7
15,A-n53-k7,1561.4534516849913,1010,6.5
16,A-n54-k7,1613.4009771331953,1167,3.93
17,A-n55-k9,1573.6432607260485,1073,4.22
18,A-n60-k9,1909.1664134716038,1408,3.95
19,A-n61-k9,1452.1206734889925,1035,4.43
20,A-n62-k8,1781.848455107538,1290,3.94
21,A-n63-k10,1944.1439915688059,1315,4.56
22,A-n63-k9,2336.2137996684305,1634,4.23
23,A-n64-k9,2087.218664829954,1402,4.18
24,A-n65-k9,1828.3589290248967,1177,4.34
25,A-n69-k9,2100.375905798091,1168,4.19
26,A-n80-k10,2637.2318395112593,1764,4.75
27,B-n31-k5,728.7562982014447,672,3.71
28,B-n34-k5,1161.7162963874232,788,3.09
29,B-n35-k5,1292.0007466972475,955,3.51
30,B-n38-k6,1045.1587995674058,805,3.39
31,B-n39-k5,771.6678784232996,549,3.25
32,B-n41-k6,1158.3072504089318,829,3.86
33,B-n43-k6,916.6632610003026,742,3.52
34,B-n44-k7,1229.8884450993346,909,5.4
35,B-n45-k5,952.6570494524564,751,3.66
36,B-n45-k6,878.4763147989711,678,3.78
37,B-n50-k7,1206.8534042372903,741,3.93
38,B-n50-k8,1654.9405122114501,1313,5.74
39,B-n51-k7,1480.2356027827682,1032,4.0
40,B-n52-k7,995.8612334370878,747,3.98
41,B-n56-k7,1149.7848058759175,707,3.85
42,B-n57-k7,1513.9412264281466,1153,4.13
43,B-n57-k9,1832.4636929442015,1598,4.1
44,B-n63-k10,2283.956187923046,1537,4.23
45,B-n64-k9,1313.5621999846994,861,4.33
46,B-n66-k9,2263.6275462367607,1374,4.4
47,B-n67-k10,1439.5018591431258,1033,5.77
48,B-n68-k9,1734.096340306389,1304,4.9
49,B-n78-k10,1942.843558365335,1266,6.2
50,P-n101-k4,1301.8105493353676,681,4.77
51,P-n16-k8,462.80037947324564,435,7.88
52,P-n19-k2,286.24207646354773,212,2.72
53, P-n20-k2,358.6774408901608,220,2.56
54,P-n21-k2,308.7441253980403,211,4.51
55,P-n22-k2,315.18858968370324,216,5.07
56,P-n22-k8,673.7386537942288,603,5.42
57,P-n23-k8,609.1490752871001,554,5.84
58,P-n40-k5.vrp,724.784470873848,458,3.29
59,P-n45-k5,834.1824979664001,510,3.3
60,P-n50-k10,959.3795081797048,696,4.19
61, P-n50-k7,858.2337834310089,554,4.04
62,P-n50-k8,893.6503106305454,649,3.88
63,P-n51-k10,1023.6752382087784,745,4.4
64,P-n55-k10,1016.6251920218008,669,4.02
65,P-n55-k15,1227.1962196720335,856,5.53
66,P-n55-k7,907.3798607254864,524,3.8
67,P-n55-k8,915.893993300413,576,3.71
68,P-n60-k10,1019.6906424919003,706,4.42
69,P-n60-k15,1276.4297836023013,905,5.21
70,P-n65-k10,1103.7452307041638,792,4.45
71,P-n70-k10,1170.688538711494,834,4.78
72,P-n76-k4,1364.1479208622918,589,15.5
73,P-n76-k5,1252.1002163260264,631,12.62
