,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,897.9594494009164,784,3.34
1,A-n33-k5,827.6618294686474,661,2.11
2,A-n33-k6,828.4808482243614,742,2.3
3,A-n34-k5,1004.9803267873011,778,2.46
4,A-n36-k5,913.4715103659641,799,2.59
5,A-n37-k5,806.6825983781645,669,2.33
6,A-n37-k6,1041.9923436537315,949,2.37
7,A-n38-k5,967.597190271331,730,2.52
8,A-n39-k5,1048.1444677059071,822,3.7
9,A-n39-k6,994.6702450004075,831,2.58
10,A-n44-k6,1126.295443469051,937,2.87
11,A-n45-k6,1265.1788798555115,944,2.84
12,A-n45-k7,1339.4614872695124,1146,2.71
13,A-n46-k7,1141.5328256875844,914,2.69
14,A-n48-k7,1305.622922931462,1073,2.99
15,A-n53-k7,1263.7084487991328,1010,3.45
16,A-n54-k7,1437.7088978456152,1167,3.14
17,A-n55-k9,1313.2783403465498,1073,4.02
18,A-n60-k9,1633.0800311578378,1408,3.02
19,A-n61-k9,1414.4173057138955,1035,3.6
20,A-n62-k8,1794.7171041394427,1290,3.26
21,A-n63-k10,1622.191222597379,1315,3.3
22,A-n63-k9,1930.982060742124,1634,3.96
23,A-n64-k9,1872.4720266534541,1402,3.38
24,A-n65-k9,1613.8616838044516,1177,3.61
25,A-n69-k9,1583.5336154657991,1168,3.46
26,A-n80-k10,2309.4414689958467,1764,4.21
27,B-n31-k5,735.2526320565461,672,2.3
28,B-n34-k5,962.2572696616571,788,2.12
29,B-n35-k5,1086.2618599420045,955,2.52
30,B-n38-k6,934.2218426714187,805,3.07
31,B-n39-k5,676.1797592167534,549,2.44
32,B-n41-k6,1023.9966641658177,829,2.75
33,B-n43-k6,953.4833234552672,742,2.77
34,B-n44-k7,1063.5628084438895,909,2.91
35,B-n45-k5,934.1398754452081,751,2.71
36,B-n45-k6,800.9866038019497,678,3.13
37,B-n50-k7,993.6886914039043,741,3.04
38,B-n50-k8,1500.5804491464235,1313,3.07
39,B-n51-k7,1238.5516579489488,1032,3.06
40,B-n52-k7,955.6452550359376,747,2.81
41,B-n56-k7,919.4574382020522,707,3.51
42,B-n57-k7,1554.0679636899595,1153,3.04
43,B-n57-k9,1872.956233204804,1598,3.48
44,B-n63-k10,1925.0643688047799,1537,3.66
45,B-n64-k9,1251.0760483486602,861,4.54
46,B-n66-k9,1639.475740810205,1374,4.72
47,B-n67-k10,1437.5087952112704,1033,4.53
48,B-n68-k9,1612.6591781285754,1304,4.31
49,B-n78-k10,1660.7154930440788,1266,4.17
50,P-n101-k4,1164.1164640733698,681,3.81
51,P-n16-k8,473.7821123645115,435,3.62
52,P-n19-k2,263.03972055379865,212,1.91
53, P-n20-k2,245.92552475734533,220,1.81
54,P-n21-k2,272.8705810722827,211,1.91
55,P-n22-k2,261.4271168770292,216,1.97
56,P-n22-k8,597.7825792511517,603,4.2
57,P-n23-k8,579.7902104478608,554,3.57
58,P-n40-k5.vrp,518.4075831865825,458,2.48
59,P-n45-k5,692.243283404049,510,2.45
60,P-n50-k10,918.9556492858621,696,3.51
61, P-n50-k7,680.1177235316517,554,2.94
62,P-n50-k8,791.2019470953197,649,5.62
63,P-n51-k10,953.1471010685758,745,3.35
64,P-n55-k10,865.8775074490391,669,3.46
65,P-n55-k15,1052.3156973190257,856,4.6
66,P-n55-k7,704.8370453485962,524,3.12
67,P-n55-k8,728.2406113537905,576,2.98
68,P-n60-k10,912.4001943682993,706,3.51
69,P-n60-k15,1233.9461331005366,905,5.04
70,P-n65-k10,1074.3610681259786,792,3.78
71,P-n70-k10,1073.545608052263,834,4.81
72,P-n76-k4,928.4232832496286,589,2.87
73,P-n76-k5,994.836456208552,631,3.48
