,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,917.9831028990917,784,2.56
1,A-n33-k5,802.1763608634693,661,2.34
2,A-n33-k6,921.949763763444,742,2.34
3,A-n34-k5,1030.3676889354062,778,2.33
4,A-n36-k5,944.6399873535307,799,2.58
5,A-n37-k5,861.4211780112452,669,2.46
6,A-n37-k6,1049.9782651711794,949,2.94
7,A-n38-k5,960.7810067502629,730,2.87
8,A-n39-k5,1066.542646754375,822,2.73
9,A-n39-k6,1025.4122969838695,831,2.7
10,A-n44-k6,1139.0215162987345,937,2.52
11,A-n45-k6,1301.7091662776734,944,2.75
12,A-n45-k7,1313.971399747402,1146,3.0
13,A-n46-k7,1201.1861029652803,914,2.8
14,A-n48-k7,1284.0867618597053,1073,3.16
15,A-n53-k7,1461.9253027830357,1010,2.95
16,A-n54-k7,1486.347247259639,1167,3.38
17,A-n55-k9,1649.174230789977,1073,2.91
18,A-n60-k9,1832.8475169413177,1408,3.44
19,A-n61-k9,1424.9504579003217,1035,4.33
20,A-n62-k8,1686.9294275705097,1290,4.03
21,A-n63-k10,1803.4594935644268,1315,3.67
22,A-n63-k9,2033.8929152657427,1634,3.68
23,A-n64-k9,1846.3624191516285,1402,3.59
24,A-n65-k9,1502.4357907717172,1177,3.93
25,A-n69-k9,1691.0923484344244,1168,3.8
26,A-n80-k10,2553.047051534875,1764,4.4
27,B-n31-k5,739.0675231636793,672,2.29
28,B-n34-k5,830.6603104296495,788,2.72
29,B-n35-k5,1311.3469165496924,955,2.96
30,B-n38-k6,922.9410242108177,805,2.53
31,B-n39-k5,754.4600526429942,549,2.6
32,B-n41-k6,1087.5003411967455,829,3.14
33,B-n43-k6,978.2621388112755,742,2.71
34,B-n44-k7,1070.584363196514,909,2.95
35,B-n45-k5,952.299739316339,751,4.29
36,B-n45-k6,876.5457479838218,678,2.8
37,B-n50-k7,1049.7741071396442,741,3.27
38,B-n50-k8,1565.823022263217,1313,2.85
39,B-n51-k7,1336.1728029975443,1032,3.51
40,B-n52-k7,1255.656990156029,747,3.18
41,B-n56-k7,1142.0074210752784,707,2.97
42,B-n57-k7,1698.3659527654531,1153,3.21
43,B-n57-k9,1939.20352732795,1598,3.25
44,B-n63-k10,1864.822416066193,1537,3.35
45,B-n64-k9,1413.9098016482635,861,3.59
46,B-n66-k9,1816.4773021951585,1374,3.75
47,B-n67-k10,1449.2999602634734,1033,3.52
48,B-n68-k9,1738.0375399545796,1304,3.34
49,B-n78-k10,2043.5787957462421,1266,3.71
50,P-n101-k4,1311.8053395285283,681,3.69
51,P-n16-k8,451.33508020861797,435,2.08
52,P-n19-k2,224.76639654100543,212,1.66
53, P-n20-k2,234.45759014605667,220,1.72
54,P-n21-k2,276.31167799359275,211,1.86
55,P-n22-k2,263.85594545482274,216,1.73
56,P-n22-k8,645.1610426340743,603,2.77
57,P-n23-k8,601.6812698437859,554,2.77
58,P-n40-k5.vrp,623.656108368654,458,2.51
59,P-n45-k5,754.9947798846439,510,2.5
60,P-n50-k10,858.0810397297168,696,3.29
61, P-n50-k7,681.0440364655624,554,2.84
62,P-n50-k8,810.1986194268502,649,3.11
63,P-n51-k10,885.7692762178691,745,3.81
64,P-n55-k10,910.5349837349622,669,3.59
65,P-n55-k15,1092.7967164360955,856,4.95
66,P-n55-k7,781.4885839634419,524,2.83
67,P-n55-k8,739.2684805842638,576,3.36
68,P-n60-k10,928.2800456486199,706,3.65
69,P-n60-k15,1141.5863572828898,905,4.39
70,P-n65-k10,1009.7182108693705,792,3.77
71,P-n70-k10,1112.9041941584712,834,3.66
72,P-n76-k4,995.2503049103111,589,3.54
73,P-n76-k5,978.895691335007,631,3.46
