,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1005.9886627192753,784,2.57
1,A-n33-k5,777.6294024344456,661,2.37
2,A-n33-k6,912.7684692062272,742,2.17
3,A-n34-k5,965.183401365912,778,2.34
4,A-n36-k5,972.7693766995084,799,2.44
5,A-n37-k5,866.4066413690917,669,2.45
6,A-n37-k6,1153.823862434365,949,2.74
7,A-n38-k5,948.628135200425,730,3.15
8,A-n39-k5,1013.6644055933345,822,2.44
9,A-n39-k6,1087.9176754097168,831,3.12
10,A-n44-k6,1273.8022561481268,937,2.87
11,A-n45-k6,1131.7872419226608,944,2.85
12,A-n45-k7,1332.6446735677825,1146,2.85
13,A-n46-k7,1198.759499605719,914,2.86
14,A-n48-k7,1266.533241421138,1073,2.93
15,A-n53-k7,1410.6667610154532,1010,2.93
16,A-n54-k7,1490.1524020860047,1167,2.93
17,A-n55-k9,1429.5183754025943,1073,3.61
18,A-n60-k9,1851.002146252614,1408,3.52
19,A-n61-k9,1444.5594697813083,1035,3.72
20,A-n62-k8,1810.6187346001393,1290,3.44
21,A-n63-k10,1809.0482273112407,1315,3.64
22,A-n63-k9,1958.0281541725362,1634,3.57
23,A-n64-k9,1800.0524469304544,1402,3.5
24,A-n65-k9,1749.100618761742,1177,3.54
25,A-n69-k9,1693.881979003871,1168,3.66
26,A-n80-k10,2363.154411931542,1764,3.47
27,B-n31-k5,708.8495495726585,672,2.13
28,B-n34-k5,964.9213163236274,788,2.48
29,B-n35-k5,1150.017650945901,955,2.44
30,B-n38-k6,991.6639801167854,805,2.63
31,B-n39-k5,772.0780291249888,549,2.39
32,B-n41-k6,1119.478247643767,829,2.79
33,B-n43-k6,946.8687583951108,742,2.63
34,B-n44-k7,1074.9374532131803,909,2.87
35,B-n45-k5,981.7356688293779,751,2.67
36,B-n45-k6,891.5689454439183,678,2.75
37,B-n50-k7,1093.650228519559,741,2.72
38,B-n50-k8,1469.6993295759532,1313,2.98
39,B-n51-k7,1631.532713191206,1032,3.05
40,B-n52-k7,1110.2145592089682,747,3.0
41,B-n56-k7,1122.6934760066804,707,2.58
42,B-n57-k7,1715.9102629546899,1153,2.92
43,B-n57-k9,1963.5369306376679,1598,3.32
44,B-n63-k10,2039.3383483894145,1537,3.72
45,B-n64-k9,1188.566572520822,861,3.51
46,B-n66-k9,1826.2351012105821,1374,3.24
47,B-n67-k10,1435.406461765948,1033,3.56
48,B-n68-k9,1777.0301399148823,1304,3.38
49,B-n78-k10,1917.437395417542,1266,4.17
50,P-n101-k4,1164.375214541035,681,3.61
51,P-n16-k8,478.63301034866987,435,2.5
52,P-n19-k2,248.06748207429084,212,2.01
53, P-n20-k2,258.51279192749837,220,1.78
54,P-n21-k2,236.40515372065494,211,1.89
55,P-n22-k2,270.4746912787952,216,1.86
56,P-n22-k8,638.6572568605841,603,2.51
57,P-n23-k8,559.3345161229386,554,2.47
58,P-n40-k5.vrp,580.0473145012501,458,2.65
59,P-n45-k5,709.4023250183714,510,5.13
60,P-n50-k10,872.5895185665827,696,3.14
61, P-n50-k7,741.4861956210835,554,2.98
62,P-n50-k8,763.7275064686077,649,3.26
63,P-n51-k10,871.9957221903969,745,3.43
64,P-n55-k10,855.8282608553309,669,4.02
65,P-n55-k15,1095.66976932206,856,4.83
66,P-n55-k7,768.2013766671535,524,3.09
67,P-n55-k8,811.9210565299603,576,2.92
68,P-n60-k10,1018.6218445045182,706,3.64
69,P-n60-k15,1154.377333363528,905,4.36
70,P-n65-k10,1107.769767156148,792,5.46
71,P-n70-k10,1142.4319434691156,834,4.14
72,P-n76-k4,890.7025720678116,589,4.09
73,P-n76-k5,970.6718394319042,631,3.42
