,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,918.2048486103189,784,2.35
1,A-n33-k5,794.4972673636072,661,2.09
2,A-n33-k6,851.6761488766859,742,2.25
3,A-n34-k5,1017.8986697725821,778,2.01
4,A-n36-k5,1065.280201831138,799,2.16
5,A-n37-k5,945.5119568247775,669,2.54
6,A-n37-k6,1168.7929725650795,949,2.33
7,A-n38-k5,1046.63581452382,730,2.01
8,A-n39-k5,1019.9013973295391,822,2.7
9,A-n39-k6,1111.6611593303558,831,2.77
10,A-n44-k6,1188.6356318094718,937,2.28
11,A-n45-k6,1288.3912583604647,944,2.38
12,A-n45-k7,1379.969495499506,1146,2.51
13,A-n46-k7,1114.6574314160646,914,2.53
14,A-n48-k7,1441.0793896697633,1073,2.34
15,A-n53-k7,1388.1235599829793,1010,2.48
16,A-n54-k7,1385.8668636059938,1167,2.83
17,A-n55-k9,1393.25473122225,1073,3.06
18,A-n60-k9,1740.6553164051968,1408,2.74
19,A-n61-k9,1327.1383967220659,1035,3.15
20,A-n62-k8,1723.4654028532534,1290,3.0
21,A-n63-k10,1781.2256795608123,1315,3.62
22,A-n63-k9,2107.323992539198,1634,3.22
23,A-n64-k9,1940.7463247153382,1402,3.27
24,A-n65-k9,1762.63971984913,1177,3.25
25,A-n69-k9,1673.5682239005514,1168,2.99
26,A-n80-k10,2338.7063866256517,1764,3.48
27,B-n31-k5,728.5064873670606,672,1.84
28,B-n34-k5,913.0553358069235,788,2.07
29,B-n35-k5,1101.6603511152507,955,2.24
30,B-n38-k6,983.5748895529122,805,2.45
31,B-n39-k5,752.4791398768659,549,2.14
32,B-n41-k6,1020.0403880076212,829,2.27
33,B-n43-k6,971.5999700877612,742,2.51
34,B-n44-k7,1084.5667630571847,909,2.88
35,B-n45-k5,1145.5439516238991,751,2.31
36,B-n45-k6,952.2516271412762,678,2.61
37,B-n50-k7,1175.8832016711979,741,2.58
38,B-n50-k8,1423.1441614920504,1313,2.76
39,B-n51-k7,1377.0221415057526,1032,2.77
40,B-n52-k7,1374.2649379445008,747,2.68
41,B-n56-k7,1099.5590794984541,707,2.57
42,B-n57-k7,1641.06888748845,1153,2.66
43,B-n57-k9,2033.8238718689593,1598,2.68
44,B-n63-k10,1984.233749173034,1537,3.02
45,B-n64-k9,1308.8976109833181,861,3.11
46,B-n66-k9,1689.4905061156942,1374,2.92
47,B-n67-k10,1500.7943343765014,1033,3.62
48,B-n68-k9,1715.0715932263427,1304,3.27
49,B-n78-k10,1988.664193468034,1266,3.13
50,P-n101-k4,1141.3631123604132,681,3.15
51,P-n16-k8,454.3983428045983,435,2.16
52,P-n19-k2,265.99608100966464,212,1.44
53, P-n20-k2,248.36803673968052,220,1.26
54,P-n21-k2,270.00416370445686,211,1.35
55,P-n22-k2,270.9444871273281,216,1.32
56,P-n22-k8,639.309660538914,603,2.68
57,P-n23-k8,561.3812932306896,554,2.43
58,P-n40-k5.vrp,559.5496688777682,458,2.16
59,P-n45-k5,660.4105521719371,510,2.12
60,P-n50-k10,818.9076542430591,696,3.34
61, P-n50-k7,665.5302317315808,554,2.97
62,P-n50-k8,787.009768514225,649,3.03
63,P-n51-k10,932.993666192193,745,3.21
64,P-n55-k10,899.1263237032022,669,2.94
65,P-n55-k15,1083.1240865061181,856,4.29
66,P-n55-k7,769.5627442653056,524,2.82
67,P-n55-k8,813.0313461719624,576,2.66
68,P-n60-k10,942.6491237444932,706,3.29
69,P-n60-k15,1195.4844633102884,905,3.98
70,P-n65-k10,1021.0031026103242,792,3.2
71,P-n70-k10,1140.4736453734324,834,3.47
72,P-n76-k4,921.0034245961037,589,3.02
73,P-n76-k5,1061.6537355696946,631,2.98
