,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1031.0022816847318,784,2.34
1,A-n33-k5,882.1356312327036,661,1.91
2,A-n33-k6,819.5121095833059,742,2.33
3,A-n34-k5,842.4765664255071,778,2.09
4,A-n36-k5,921.0398091880214,799,2.32
5,A-n37-k5,811.9221375192803,669,2.12
6,A-n37-k6,1139.4093884805486,949,2.25
7,A-n38-k5,913.0765448775788,730,2.45
8,A-n39-k5,1019.231047232706,822,2.45
9,A-n39-k6,1006.8049367137528,831,2.15
10,A-n44-k6,1209.2240577318883,937,2.23
11,A-n45-k6,1125.957809549812,944,2.6
12,A-n45-k7,1337.4712107475964,1146,2.76
13,A-n46-k7,1093.8380293891394,914,2.81
14,A-n48-k7,1260.406579585908,1073,2.42
15,A-n53-k7,1252.2357404790007,1010,2.82
16,A-n54-k7,1539.6590773884013,1167,2.74
17,A-n55-k9,1353.5937878837676,1073,2.79
18,A-n60-k9,1666.2574952899956,1408,3.08
19,A-n61-k9,1247.7314012894647,1035,3.48
20,A-n62-k8,1677.808769454363,1290,3.38
21,A-n63-k10,1680.0046868539687,1315,3.41
22,A-n63-k9,2002.7002094191168,1634,3.27
23,A-n64-k9,1760.901986602783,1402,3.46
24,A-n65-k9,1509.5703450996853,1177,3.34
25,A-n69-k9,1599.9659138663988,1168,3.34
26,A-n80-k10,2205.3169769154997,1764,3.3
27,B-n31-k5,753.0331496321363,672,2.14
28,B-n34-k5,850.2855651170894,788,1.97
29,B-n35-k5,1039.4075495006982,955,2.08
30,B-n38-k6,915.8422645114883,805,2.11
31,B-n39-k5,710.1099613736831,549,2.65
32,B-n41-k6,951.8396844206031,829,2.99
33,B-n43-k6,875.3384613418845,742,3.09
34,B-n44-k7,1066.1324313310065,909,2.5
35,B-n45-k5,1097.2052248713123,751,1.88
36,B-n45-k6,808.5836999136612,678,2.69
37,B-n50-k7,995.5901022079007,741,2.54
38,B-n50-k8,1388.1416025074,1313,2.53
39,B-n51-k7,1360.9717177485338,1032,2.87
40,B-n52-k7,933.1531985780344,747,2.63
41,B-n56-k7,845.929392451777,707,2.75
42,B-n57-k7,1462.5009578353474,1153,2.91
43,B-n57-k9,1804.0248701222476,1598,2.98
44,B-n63-k10,1827.7321819197502,1537,3.34
45,B-n64-k9,1043.3108428473286,861,3.26
46,B-n66-k9,1640.3644098110785,1374,2.94
47,B-n67-k10,1385.9007598732792,1033,3.34
48,B-n68-k9,1524.1276988337909,1304,2.78
49,B-n78-k10,1666.1409324382432,1266,3.34
50,P-n101-k4,1225.7073471593399,681,3.4
51,P-n16-k8,466.8833345940581,435,2.38
52,P-n19-k2,295.1202895150092,212,1.19
53, P-n20-k2,318.98347760293757,220,1.49
54,P-n21-k2,255.558941395312,211,1.46
55,P-n22-k2,296.6618587611199,216,1.35
56,P-n22-k8,647.8014777133467,603,2.36
57,P-n23-k8,550.199218631632,554,2.39
58,P-n40-k5.vrp,514.4943430920683,458,2.54
59,P-n45-k5,595.5160362461853,510,2.58
60,P-n50-k10,823.9622423951041,696,3.18
61, P-n50-k7,690.2131101293388,554,2.84
62,P-n50-k8,677.7806543105866,649,2.93
63,P-n51-k10,920.7424816938943,745,3.12
64,P-n55-k10,808.2419679346862,669,2.75
65,P-n55-k15,1103.2622146468152,856,4.49
66,P-n55-k7,697.9805845793823,524,2.9
67,P-n55-k8,707.4769780916165,576,3.17
68,P-n60-k10,885.9557954452619,706,3.34
69,P-n60-k15,1065.8861645714992,905,4.89
70,P-n65-k10,1057.1170534661633,792,3.7
71,P-n70-k10,1036.9163115065928,834,3.39
72,P-n76-k4,911.2736296212914,589,2.47
73,P-n76-k5,1017.2526965387784,631,2.58
