,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,911.1212257001446,784,2.14
1,A-n33-k5,802.6156921361439,661,2.16
2,A-n33-k6,837.0404128027766,742,2.17
3,A-n34-k5,887.5643614041161,778,2.07
4,A-n36-k5,927.6130223946814,799,2.07
5,A-n37-k5,807.9983608235916,669,2.2
6,A-n37-k6,1096.405830586992,949,2.37
7,A-n38-k5,820.3405827089776,730,2.06
8,A-n39-k5,1053.9693669806816,822,2.21
9,A-n39-k6,957.9958326161552,831,2.28
10,A-n44-k6,1137.4370522719219,937,2.31
11,A-n45-k6,1156.4754048653056,944,2.56
12,A-n45-k7,1282.913883958538,1146,2.73
13,A-n46-k7,1093.6582605183173,914,2.65
14,A-n48-k7,1172.0032235535014,1073,2.68
15,A-n53-k7,1139.1632488611529,1010,2.96
16,A-n54-k7,1442.4399989461858,1167,2.67
17,A-n55-k9,1183.8182622880995,1073,3.02
18,A-n60-k9,1624.6105337044758,1408,3.25
19,A-n61-k9,1276.4784085125375,1035,3.34
20,A-n62-k8,1619.9002442786912,1290,3.31
21,A-n63-k10,1517.5210000382901,1315,3.49
22,A-n63-k9,1987.9880094677342,1634,3.44
23,A-n64-k9,1728.4388206205704,1402,3.4
24,A-n65-k9,1523.2465395579911,1177,3.53
25,A-n69-k9,1455.408629338681,1168,3.71
26,A-n80-k10,2221.1166947867787,1764,3.67
27,B-n31-k5,706.063306842521,672,2.31
28,B-n34-k5,840.8987321649014,788,2.42
29,B-n35-k5,1044.7527976159886,955,2.26
30,B-n38-k6,841.7409339341087,805,2.47
31,B-n39-k5,662.1527428687986,549,2.51
32,B-n41-k6,1009.1477187217049,829,2.45
33,B-n43-k6,851.2650231087327,742,2.56
34,B-n44-k7,985.0579199269613,909,2.68
35,B-n45-k5,915.3825777190749,751,2.32
36,B-n45-k6,793.7522757211239,678,2.7
37,B-n50-k7,858.2310031627006,741,2.79
38,B-n50-k8,1379.9699754604749,1313,2.94
39,B-n51-k7,1114.400028564711,1032,2.92
40,B-n52-k7,813.7869485014118,747,2.88
41,B-n56-k7,894.1067851478986,707,2.96
42,B-n57-k7,1504.4001738704228,1153,3.06
43,B-n57-k9,1813.0579721030588,1598,3.59
44,B-n63-k10,1784.3069773461677,1537,3.42
45,B-n64-k9,1196.5461021393844,861,3.46
46,B-n66-k9,1623.7653040733258,1374,3.69
47,B-n67-k10,1353.4536171012655,1033,3.78
48,B-n68-k9,1557.9596921037605,1304,3.78
49,B-n78-k10,1474.152096066988,1266,3.67
50,P-n101-k4,1165.666481444951,681,3.77
51,P-n16-k8,451.9470921298185,435,2.33
52,P-n19-k2,284.5777439118625,212,1.49
53, P-n20-k2,282.1294950494105,220,1.6
54,P-n21-k2,244.12040291529792,211,1.66
55,P-n22-k2,277.80378008948355,216,1.57
56,P-n22-k8,643.1551990715509,603,2.62
57,P-n23-k8,569.3338806974742,554,2.65
58,P-n40-k5.vrp,566.5115735264552,458,2.39
59,P-n45-k5,713.1760443656963,510,2.4
60,P-n50-k10,782.7416655566975,696,3.35
61, P-n50-k7,648.3511358371,554,2.76
62,P-n50-k8,711.621025494256,649,3.25
63,P-n51-k10,857.5023285633599,745,4.13
64,P-n55-k10,786.6295938914426,669,3.69
65,P-n55-k15,1043.9672504111084,856,5.24
66,P-n55-k7,687.0956773634101,524,3.2
67,P-n55-k8,665.0536535372895,576,3.07
68,P-n60-k10,871.3982319012873,706,3.6
69,P-n60-k15,1083.2193064097798,905,4.71
70,P-n65-k10,903.4859021037619,792,3.55
71,P-n70-k10,977.7456564987024,834,3.86
72,P-n76-k4,959.2843933856036,589,3.1
73,P-n76-k5,922.0615068449314,631,2.97
