,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1137.933653265939,784,4.15
1,A-n33-k5,914.2702230775493,661,3.5
2,A-n33-k6,983.0136458335963,742,4.06
3,A-n34-k5,1035.7774192617226,778,2.79
4,A-n36-k5,1112.274568594531,799,14.3
5,A-n37-k5,999.0938849050508,669,3.13
6,A-n37-k6,1284.319447813429,949,3.98
7,A-n38-k5,1073.020151795368,730,3.63
8,A-n39-k5,1395.8899606802509,822,5.87
9,A-n39-k6,1223.8070083826012,831,3.86
10,A-n44-k6,1364.4821537314956,937,5.24
11,A-n45-k6,1556.7157277420574,944,5.05
12,A-n45-k7,1380.3479271141932,1146,4.57
13,A-n46-k7,1245.5856248938653,914,4.7
14,A-n48-k7,1467.731454367361,1073,3.79
15,A-n53-k7,1515.1764819100442,1010,3.79
16,A-n54-k7,1572.0040621841085,1167,5.31
17,A-n55-k9,1589.9805781063696,1073,4.98
18,A-n60-k9,1893.451117659593,1408,3.84
19,A-n61-k9,1570.0242267273095,1035,5.13
20,A-n62-k8,1839.3304059149523,1290,3.46
21,A-n63-k10,1936.993431566456,1315,4.39
22,A-n63-k9,2262.9287352451634,1634,4.5
23,A-n64-k9,2007.6963449218586,1402,14.27
24,A-n65-k9,1806.1844910091029,1177,5.24
25,A-n69-k9,2075.631719077936,1168,5.63
26,A-n80-k10,2445.2146004505635,1764,5.2
27,B-n31-k5,758.1218045085617,672,3.48
28,B-n34-k5,1117.0193049351483,788,3.73
29,B-n35-k5,1173.9672424496237,955,3.78
30,B-n38-k6,936.9574147258737,805,3.41
31,B-n39-k5,920.3879272245473,549,3.76
32,B-n41-k6,1086.54734481153,829,4.37
33,B-n43-k6,1051.2743912077817,742,6.14
34,B-n44-k7,1161.1808167814754,909,5.17
35,B-n45-k5,1352.3837034483631,751,4.13
36,B-n45-k6,983.5140595248262,678,7.66
37,B-n50-k7,1236.451380501969,741,5.23
38,B-n50-k8,1590.2624776548587,1313,4.85
39,B-n51-k7,1587.9897152218161,1032,6.58
40,B-n52-k7,1268.298799404467,747,3.69
41,B-n56-k7,1074.3649657881717,707,5.14
42,B-n57-k7,1589.7261102407126,1153,3.67
43,B-n57-k9,1925.3006379567387,1598,3.59
44,B-n63-k10,1965.8098324537414,1537,5.25
45,B-n64-k9,1374.9491728922014,861,4.89
46,B-n66-k9,1798.8675203067714,1374,6.0
47,B-n67-k10,1365.5268534416027,1033,6.84
48,B-n68-k9,1844.50631364658,1304,3.89
49,B-n78-k10,1823.5098475662269,1266,4.16
50,P-n101-k4,1534.9314646893604,681,14.11
51,P-n16-k8,481.7225077773813,435,14.71
52,P-n19-k2,294.475587735099,212,3.19
53, P-n20-k2,307.7659288037877,220,2.63
54,P-n21-k2,330.4735964109624,211,3.99
55,P-n22-k2,295.8233625915477,216,3.11
56,P-n22-k8,707.4565678179979,603,4.69
57,P-n23-k8,597.7281670940514,554,4.83
58,P-n40-k5.vrp,743.9685545494423,458,2.92
59,P-n45-k5,726.0586365922322,510,3.27
60,P-n50-k10,970.8789018593794,696,3.95
61, P-n50-k7,956.76223853557,554,5.64
62,P-n50-k8,839.4270039785115,649,9.31
63,P-n51-k10,990.7127399708077,745,3.91
64,P-n55-k10,1012.8949631691416,669,4.7
65,P-n55-k15,1178.9762130941397,856,5.64
66,P-n55-k7,812.3885830218616,524,7.09
67,P-n55-k8,815.3691943015608,576,3.3
68,P-n60-k10,1008.9739251776014,706,4.63
69,P-n60-k15,1342.077834376147,905,5.4
70,P-n65-k10,1174.0405567242312,792,5.25
71,P-n70-k10,1249.9221487707014,834,5.18
72,P-n76-k4,1019.1624769245116,589,4.81
73,P-n76-k5,1129.1585421728212,631,4.64
