,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1241.858787645452,784,1.78
1,A-n33-k5,1168.9243986456759,661,1.66
2,A-n33-k6,1155.3109271971252,742,1.99
3,A-n34-k5,1173.4554749724741,778,1.87
4,A-n36-k5,1306.3751884725884,799,1.77
5,A-n37-k5,1157.6659278282739,669,1.59
6,A-n37-k6,1491.3050941712313,949,1.92
7,A-n38-k5,1417.0343785712018,730,1.9
8,A-n39-k5,1322.142014441941,822,2.02
9,A-n39-k6,1418.7520703105652,831,1.98
10,A-n44-k6,1636.6584855969988,937,1.9
11,A-n45-k6,1925.892853127888,944,1.76
12,A-n45-k7,1719.656889635996,1146,2.12
13,A-n46-k7,1664.4452221903907,914,1.95
14,A-n48-k7,1701.7693457099322,1073,1.92
15,A-n53-k7,2048.6360093668413,1010,2.49
16,A-n54-k7,2089.27149921679,1167,2.29
17,A-n55-k9,2091.260515307105,1073,2.41
18,A-n60-k9,2414.768209115824,1408,2.49
19,A-n61-k9,2234.615661026496,1035,2.5
20,A-n62-k8,2345.948282229389,1290,3.05
21,A-n63-k10,2649.6174331083207,1315,2.48
22,A-n63-k9,2828.3937702304656,1634,3.33
23,A-n64-k9,2393.3661479928,1402,2.73
24,A-n65-k9,2583.0613370240303,1177,2.52
25,A-n69-k9,2501.733013924314,1168,2.72
26,A-n80-k10,3012.00611488646,1764,2.83
27,B-n31-k5,1000.0371775284536,672,1.66
28,B-n34-k5,1261.8398861948685,788,1.78
29,B-n35-k5,1374.9510550258256,955,1.78
30,B-n38-k6,1347.766749921383,805,1.6
31,B-n39-k5,1219.8740802983607,549,1.7
32,B-n41-k6,1539.9794549848816,829,2.01
33,B-n43-k6,1316.657562410501,742,1.83
34,B-n44-k7,1585.5466580305706,909,2.17
35,B-n45-k5,1400.0048299428013,751,1.63
36,B-n45-k6,1216.7245808374532,678,1.8
37,B-n50-k7,1587.0512318907975,741,2.14
38,B-n50-k8,1977.1060220582453,1313,2.21
39,B-n51-k7,2172.3690411423627,1032,2.71
40,B-n52-k7,1617.1795728129312,747,2.61
41,B-n56-k7,1986.4168947097837,707,2.35
42,B-n57-k7,2249.6987476275644,1153,2.21
43,B-n57-k9,2436.574112585992,1598,2.61
44,B-n63-k10,2541.781423453681,1537,2.94
45,B-n64-k9,2145.299614686572,861,2.71
46,B-n66-k9,2313.7738430546924,1374,2.67
47,B-n67-k10,2178.778937088326,1033,2.5
48,B-n68-k9,2378.665340015709,1304,2.51
49,B-n78-k10,2685.7210883286034,1266,2.78
50,P-n101-k4,1671.5948765614569,681,2.22
51,P-n16-k8,478.753491529126,435,2.29
52,P-n19-k2,272.9379927189774,212,0.96
53, P-n20-k2,286.95393446257253,220,1.0
54,P-n21-k2,284.9106817796171,211,1.15
55,P-n22-k2,272.34229929583717,216,1.02
56,P-n22-k8,723.7990899362633,603,2.35
57,P-n23-k8,609.5976016602173,554,2.12
58,P-n40-k5.vrp,870.4369276668126,458,1.51
59,P-n45-k5,938.0252024620974,510,1.66
60,P-n50-k10,1211.8042078888561,696,2.76
61, P-n50-k7,1020.1750482383403,554,1.87
62,P-n50-k8,1185.5794879068676,649,2.4
63,P-n51-k10,1391.89761729634,745,2.58
64,P-n55-k10,1289.1057061054028,669,2.21
65,P-n55-k15,1545.6485849479782,856,3.26
66,P-n55-k7,1164.45496884791,524,2.1
67,P-n55-k8,1115.753377864003,576,1.81
68,P-n60-k10,1449.2514623502402,706,2.87
69,P-n60-k15,1718.0820022836508,905,3.65
70,P-n65-k10,1548.9233487849833,792,3.28
71,P-n70-k10,1711.5631052441001,834,2.74
72,P-n76-k4,1365.0467866816434,589,2.11
73,P-n76-k5,1314.0416512613192,631,2.29
