,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,920.1005597815106,784,3.1
1,A-n33-k5,797.0470977460138,661,2.99
2,A-n33-k6,943.5296297700992,742,2.84
3,A-n34-k5,856.0397467076626,778,2.91
4,A-n36-k5,963.1594065567728,799,3.1
5,A-n37-k5,852.6814843600087,669,3.01
6,A-n37-k6,1093.0968710611683,949,3.08
7,A-n38-k5,933.8296989950699,730,3.41
8,A-n39-k5,924.414173993604,822,2.9
9,A-n39-k6,1153.963983363344,831,3.11
10,A-n44-k6,1187.6349031210816,937,3.14
11,A-n45-k6,1172.4702492711306,944,3.3
12,A-n45-k7,1339.8287059942822,1146,3.56
13,A-n46-k7,1169.7240542824252,914,3.19
14,A-n48-k7,1269.7401134312195,1073,3.55
15,A-n53-k7,1486.028398276311,1010,3.34
16,A-n54-k7,1421.5821026002188,1167,3.64
17,A-n55-k9,1249.2837369055196,1073,3.77
18,A-n60-k9,1684.3615293430234,1408,3.76
19,A-n61-k9,1267.488168469793,1035,4.22
20,A-n62-k8,1655.312532595506,1290,3.53
21,A-n63-k10,1580.3964540717716,1315,3.78
22,A-n63-k9,1921.2012968004751,1634,3.43
23,A-n64-k9,1819.9383535345985,1402,3.78
24,A-n65-k9,1562.0519999982055,1177,3.76
25,A-n69-k9,1591.9797099909026,1168,3.49
26,A-n80-k10,2216.6953702972896,1764,3.87
27,B-n31-k5,711.1032791318863,672,2.83
28,B-n34-k5,919.0392310947528,788,2.95
29,B-n35-k5,1009.7098424251593,955,3.03
30,B-n38-k6,920.3206611734739,805,2.76
31,B-n39-k5,697.3998588571749,549,3.94
32,B-n41-k6,1080.1725179137643,829,2.95
33,B-n43-k6,910.6157630563356,742,3.25
34,B-n44-k7,1047.6767229496818,909,3.18
35,B-n45-k5,860.3545056432223,751,3.43
36,B-n45-k6,800.5571996086355,678,3.45
37,B-n50-k7,1012.2419487613806,741,3.16
38,B-n50-k8,1412.429029694414,1313,3.58
39,B-n51-k7,1233.105376377671,1032,3.42
40,B-n52-k7,961.5275282776064,747,3.06
41,B-n56-k7,825.8767152102588,707,3.75
42,B-n57-k7,1479.431262419723,1153,3.84
43,B-n57-k9,1778.4626145966558,1598,4.0
44,B-n63-k10,1798.1483567075418,1537,4.36
45,B-n64-k9,1069.985987821213,861,3.92
46,B-n66-k9,1626.2413153269868,1374,3.85
47,B-n67-k10,1278.1370338113682,1033,4.4
48,B-n68-k9,1477.9380356912338,1304,3.93
49,B-n78-k10,1607.674966885806,1266,4.39
50,P-n101-k4,1141.4961541044802,681,5.08
51,P-n16-k8,451.9470921298183,435,3.91
52,P-n19-k2,270.28539443304743,212,2.49
53, P-n20-k2,278.75919854066905,220,2.2
54,P-n21-k2,249.61533798322975,211,2.63
55,P-n22-k2,280.5208186534311,216,2.37
56,P-n22-k8,628.9996229606936,603,4.0
57,P-n23-k8,558.6834552816931,554,3.66
58,P-n40-k5.vrp,603.7892342113885,458,2.93
59,P-n45-k5,657.9983789918607,510,3.15
60,P-n50-k10,798.7190797463817,696,4.02
61, P-n50-k7,676.9447949289897,554,3.42
62,P-n50-k8,716.1284427595482,649,3.99
63,P-n51-k10,855.8004417917668,745,3.93
64,P-n55-k10,822.3092895632291,669,4.33
65,P-n55-k15,1007.549984230456,856,4.96
66,P-n55-k7,715.9392954683541,524,4.09
67,P-n55-k8,743.0828749176088,576,4.73
68,P-n60-k10,907.0285439975834,706,4.47
69,P-n60-k15,1129.8408371626467,905,4.74
70,P-n65-k10,976.279850256009,792,3.97
71,P-n70-k10,985.7176228525476,834,4.05
72,P-n76-k4,995.315791741884,589,3.97
73,P-n76-k5,957.5585014737725,631,4.13
