,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,968.1134552987036,784,3.73
1,A-n33-k5,739.8061057821642,661,2.66
2,A-n33-k6,894.4095736069693,742,2.86
3,A-n34-k5,1006.3729028638213,778,2.72
4,A-n36-k5,915.1736888704338,799,2.61
5,A-n37-k5,822.2383450646449,669,2.97
6,A-n37-k6,1159.9924049505807,949,2.57
7,A-n38-k5,973.328967612674,730,2.97
8,A-n39-k5,1068.1374434610182,822,2.67
9,A-n39-k6,971.9799150030367,831,2.69
10,A-n44-k6,1180.1499268882726,937,3.02
11,A-n45-k6,1148.6848553109055,944,2.99
12,A-n45-k7,1422.7153405898994,1146,2.87
13,A-n46-k7,1144.7636554754606,914,2.86
14,A-n48-k7,1265.4149610925974,1073,2.79
15,A-n53-k7,1452.0290831213458,1010,2.99
16,A-n54-k7,1393.218396580454,1167,3.12
17,A-n55-k9,1376.3520073914033,1073,3.92
18,A-n60-k9,1599.520848549307,1408,3.75
19,A-n61-k9,1415.5619165201276,1035,3.59
20,A-n62-k8,1785.347973157891,1290,3.13
21,A-n63-k10,1796.5205111823382,1315,3.73
22,A-n63-k9,2130.9164177192783,1634,3.47
23,A-n64-k9,1854.5692233740774,1402,3.45
24,A-n65-k9,1593.2473465971036,1177,3.8
25,A-n69-k9,1507.5367622440672,1168,3.86
26,A-n80-k10,2322.625826377578,1764,4.09
27,B-n31-k5,714.4921552282992,672,2.52
28,B-n34-k5,830.5860889712694,788,2.54
29,B-n35-k5,1142.9087596222384,955,2.53
30,B-n38-k6,928.1591803327279,805,2.48
31,B-n39-k5,675.0529084703412,549,2.82
32,B-n41-k6,972.8806177191724,829,2.88
33,B-n43-k6,838.0321321818019,742,2.65
34,B-n44-k7,1151.219453783452,909,3.1
35,B-n45-k5,849.0073534115984,751,3.08
36,B-n45-k6,798.6472594404295,678,2.85
37,B-n50-k7,816.6045485922571,741,3.03
38,B-n50-k8,1497.1660904592236,1313,3.48
39,B-n51-k7,1381.1405044465741,1032,3.11
40,B-n52-k7,1061.243396010722,747,3.04
41,B-n56-k7,832.8138097200083,707,3.05
42,B-n57-k7,1422.4384108576605,1153,3.23
43,B-n57-k9,1822.5287257945645,1598,3.54
44,B-n63-k10,1911.667466365679,1537,3.61
45,B-n64-k9,1077.9785226670974,861,3.73
46,B-n66-k9,1613.9235487734686,1374,4.71
47,B-n67-k10,1439.0917923380946,1033,3.81
48,B-n68-k9,1596.347105606797,1304,3.74
49,B-n78-k10,1560.4764989261748,1266,4.0
50,P-n101-k4,1146.5244542830346,681,3.97
51,P-n16-k8,451.9470921298183,435,3.09
52,P-n19-k2,235.030881909726,212,1.42
53, P-n20-k2,251.9978035102294,220,1.55
54,P-n21-k2,265.6038982501164,211,1.52
55,P-n22-k2,265.0619263060782,216,1.52
56,P-n22-k8,618.3318219668676,603,3.44
57,P-n23-k8,592.0234182302114,554,3.28
58,P-n40-k5.vrp,581.5918186293728,458,2.38
59,P-n45-k5,620.6211635972843,510,2.5
60,P-n50-k10,807.1372555389211,696,3.52
61, P-n50-k7,711.6604467161343,554,2.91
62,P-n50-k8,762.878074696368,649,3.87
63,P-n51-k10,899.6211948401459,745,3.43
64,P-n55-k10,830.4295873359657,669,3.32
65,P-n55-k15,1106.523941999593,856,4.46
66,P-n55-k7,731.1768379549927,524,3.04
67,P-n55-k8,704.8780902214812,576,3.08
68,P-n60-k10,920.5793913981688,706,3.77
69,P-n60-k15,1166.4445738097666,905,4.73
70,P-n65-k10,1071.3385944629456,792,3.72
71,P-n70-k10,1084.0083183946067,834,4.21
72,P-n76-k4,931.2321831158695,589,3.4
73,P-n76-k5,976.2361969461233,631,2.91
