,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,946.1330269928267,784,3.02
1,A-n33-k5,767.2105842592291,661,2.16
2,A-n33-k6,934.6274981819786,742,2.01
3,A-n34-k5,911.1815259548068,778,1.93
4,A-n36-k5,978.816350867952,799,1.94
5,A-n37-k5,835.6267188361803,669,2.22
6,A-n37-k6,1142.4373118672202,949,2.35
7,A-n38-k5,1038.7403772112152,730,2.19
8,A-n39-k5,996.3704909707964,822,2.27
9,A-n39-k6,1209.82925988318,831,2.23
10,A-n44-k6,1222.0286997229302,937,2.34
11,A-n45-k6,1410.9701975570242,944,2.39
12,A-n45-k7,1261.8117402645216,1146,2.32
13,A-n46-k7,1294.4151834251425,914,2.87
14,A-n48-k7,1307.403166732325,1073,2.46
15,A-n53-k7,1284.4427170357644,1010,2.53
16,A-n54-k7,1347.3905603470544,1167,2.79
17,A-n55-k9,1404.1843105803305,1073,2.56
18,A-n60-k9,1725.2502707767055,1408,2.85
19,A-n61-k9,1385.097883520008,1035,3.26
20,A-n62-k8,1784.4872408058839,1290,2.66
21,A-n63-k10,1816.4800273575975,1315,3.41
22,A-n63-k9,2122.9822352064766,1634,3.19
23,A-n64-k9,1838.4555261251269,1402,3.34
24,A-n65-k9,1581.201740400195,1177,3.26
25,A-n69-k9,1753.4790415022098,1168,3.27
26,A-n80-k10,2496.903939664868,1764,3.26
27,B-n31-k5,715.404101975031,672,2.05
28,B-n34-k5,884.8548537686004,788,2.04
29,B-n35-k5,1042.3669622578159,955,2.15
30,B-n38-k6,944.3699988656282,805,2.16
31,B-n39-k5,777.5722193004027,549,2.2
32,B-n41-k6,1090.6937068452035,829,2.45
33,B-n43-k6,892.6690729943198,742,2.22
34,B-n44-k7,1131.4749394245366,909,2.48
35,B-n45-k5,947.9672774171058,751,2.14
36,B-n45-k6,975.5537592138,678,2.36
37,B-n50-k7,1159.3190499515135,741,2.32
38,B-n50-k8,1559.0000132578948,1313,2.71
39,B-n51-k7,1519.2053136512204,1032,2.9
40,B-n52-k7,1012.9506229262304,747,2.7
41,B-n56-k7,1276.3368813757118,707,2.64
42,B-n57-k7,1678.0248813959088,1153,2.8
43,B-n57-k9,1906.7835220798165,1598,2.87
44,B-n63-k10,1853.993961984627,1537,3.12
45,B-n64-k9,1318.558830778673,861,3.12
46,B-n66-k9,1773.1566671181472,1374,2.96
47,B-n67-k10,1546.2247296497744,1033,3.3
48,B-n68-k9,1764.9279810860082,1304,2.91
49,B-n78-k10,1782.3896094182078,1266,3.42
50,P-n101-k4,1227.8858491629117,681,2.95
51,P-n16-k8,454.3983428045984,435,2.49
52,P-n19-k2,243.82492643459682,212,1.28
53, P-n20-k2,251.58313493467435,220,1.36
54,P-n21-k2,234.59947982334475,211,1.25
55,P-n22-k2,263.9643635390228,216,1.46
56,P-n22-k8,627.4774803431218,603,2.08
57,P-n23-k8,584.0121460157765,554,2.51
58,P-n40-k5.vrp,538.3340461369964,458,1.96
59,P-n45-k5,699.259284615384,510,2.34
60,P-n50-k10,817.0177489921499,696,3.08
61, P-n50-k7,755.8761274747759,554,2.94
62,P-n50-k8,789.794836707087,649,2.57
63,P-n51-k10,961.3794872313321,745,3.05
64,P-n55-k10,845.6898401548,669,3.23
65,P-n55-k15,1071.557938060475,856,5.04
66,P-n55-k7,725.9256504779008,524,2.69
67,P-n55-k8,699.7829434555804,576,2.72
68,P-n60-k10,958.0578509282828,706,3.18
69,P-n60-k15,1159.114439145815,905,4.15
70,P-n65-k10,1056.426859869318,792,3.64
71,P-n70-k10,1099.4561749580719,834,3.22
72,P-n76-k4,968.4113928559703,589,2.62
73,P-n76-k5,887.9904599794003,631,2.97
